"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","109","62","１／３","1767","4%","1767","2","１／３","182","1%","182","47","１／２","1170","4%","1170","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"02","青森県","0","0","１／４","165","0%","225","0","１／４","31","0%","30","0","１／４","30","0%","100","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"03","岩手県","0","0","１／３","374","0%","350","0","１／３","59","0%","45","0","１／３","381","0%","300","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"04","宮城県","75","45","３／４","345","13%","450","0","３／４","43","0%","65","16","３／４","300","5%","300","14","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"05","秋田県","2","0","２／４","222","0%","235","0","２／４","22","0%","27","2","２／４","16","13%","69","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"06","山形県","2","2","２／４","216","1%","215","1","２／４","26","4%","26","0","２／４","188","0%","188","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"07","福島県","38","38","２／４","469","8%","350","2","２／４","42","5%","50","0","２／４","160","0%","160","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"08","茨城県","31","22","１／３","546","4%","500","5","１／３","72","7%","70","6","２／４","324","2%","324","3","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"09","栃木県","92","92","２／４","313","29%","311","1","２／４","41","2%","41","0","２／４","284","0%","250","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"10","群馬県","136","127","２／３","305","42%","330","0","２／３","23","0%","50","9","２／３","1300","1%","1300","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"11","埼玉県","284","211","３／４","1201","18%","1400","6","２／４","128","5%","200","46","１／３","1225","4%","1450","13","0","14","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"12","千葉県","339","195","３／４","1147","17%","1200","6","３／４","101","6%","180","55","３／４","710","8%","1400","76","0","13","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"13","東京都","2349","1250","３／４","4000","31%","4000","119","２／４","500","24%","500","239","３／４","1860","13%","3000","475","0","385","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"14","神奈川県","635","275","１／３","1939","14%","1939","24","１／３","200","12%","200","127","１／２","825","15%","1000","233","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"15","新潟県","20","20","１／３","456","4%","456","1","１／３","112","1%","112","0","１／３","176","0%","176","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"16","富山県","5","5","１／４","500","1%","500","0","１／４","36","0%","36","0","１／４","100","0%","100","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"17","石川県","69","68","２／２","258","26%","254","5","２／２","35","14%","35","1","２／２","340","0%","340","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"18","福井県","9","9","３／４","215","4%","215","2","３／４","24","8%","24","0","３／４","75","0%","75","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"19","山梨県","4","4","１／４","285","1%","250","1","１／４","24","4%","24","0","１／４","100","0%","100","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"20","長野県","10","10","２／４","350","3%","350","0","２／４","48","0%","48","0","２／４","250","0%","250","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"21","岐阜県","19","19","１／３","625","3%","625","1","１／３","51","2%","51","0","１／３","466","0%","466","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"22","静岡県","17","9","２／４","384","2%","450","1","２／４","34","3%","67","5","２／４","223","2%","450","0","0","3","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"23","愛知県","392","174","３／４","791","22%","839","14","３／４","70","20%","121","58","３／４","1300","4%","1300","151","0","9","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"24","三重県","79","79","２／３","363","22%","363","5","２／３","51","10%","51","0","２／３","100","0%","100","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"25","滋賀県","20","20","２／４","429","5%","450","2","２／４","45","4%","72","0","２／４","260","0%","250","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"26","京都府","85","72","２／３","515","14%","750","15","２／３","86","17%","86","3","２／３","338","1%","338","10","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"27","大阪府","762","350","２／４","1337","26%","1615","58","２／４","323","18%","215","136","２／３","1517","9%","1015","103","0","173","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"28","兵庫県","106","89","５／５","663","13%","650","8","５／５","110","7%","120","17","５／５","698","2%","700","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"29","奈良県","18","18","１／３","467","4%","500","0","１／３","25","0%","25","0","１／３","108","0%","108","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"30","和歌山県","4","4","２／４","400","1%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"31","鳥取県","13","13","１／３","313","4%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"32","島根県","0","0","１／５","253","0%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"33","岡山県","1","1","１／４","250","0%","250","0","１／４","37","0%","40","0","１／４","207","0%","180","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"34","広島県","20","15","１／３","553","3%","500","1","１／３","72","1%","70","5","１／３","854","1%","700","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"35","山口県","9","9","１／４","423","2%","423","1","１／４","102","1%","102","0","１／４","834","0%","834","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"36","徳島県","23","21","２／４","200","11%","200","0","２／４","25","0%","25","2","２／４","150","1%","150","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"37","香川県","9","9","１／３","185","5%","185","0","１／３","25","0%","25","0","１／３","101","0%","101","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"38","愛媛県","0","0","１／３","229","0%","223","0","１／３","33","0%","33","0","１／３","117","0%","117","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"39","高知県","1","1","２／４","192","1%","200","0","２／４","57","0%","57","0","２／４","361","0%","190","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"40","福岡県","175","115","２／３","490","23%","760","12","２／３","60","20%","110","15","２／３","1057","1%","1200","45","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"41","佐賀県","2","2","１／４","274","1%","273","0","１／４","46","0%","46","0","１／４","253","0%","253","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"42","長崎県","3","1","３／４","395","0%","395","0","３／４","27","0%","42","1","３／４","224","0%","550","1","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"43","熊本県","12","12","１／３","400","3%","400","0","１／３","59","0%","59","0","１／３","1430","0%","140","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"44","大分県","5","5","１／４","330","2%","330","0","１／４","41","0%","41","0","１／２","700","0%","170","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"45","宮崎県","2","2","１／３","246","1%","246","0","１／３","33","0%","33","0","１／３","250","0%","250","0","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"46","鹿児島県","16","7","３／４","253","3%","300","0","３／４","48","0%","48","7","３／４","370","2%","370","2","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
"47","沖縄県","157","119","３／５","465","26%","425","17","３／５","53","32%","51","17","３／５","340","5%","340","21","0","0","2021-09-23","https://www.mhlw.go.jp/content/10900000/000694895.pdf"
