"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1399","624","２／３","1826","34%","1826","21","２／３","162","13%","162","453","２／２","2055","22%","2055","318","4","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"02","青森県","226","73","３／４","201","36%","225","0","３／４","31","0%","30","18","３／４","210","9%","100","97","19","19","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"03","岩手県","119","96","２／３","393","24%","350","2","２／３","60","3%","45","23","２／３","381","6%","300","0","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"04","宮城県","504","143","５／５","347","41%","450","11","５／５","42","26%","65","168","５／５","900","19%","900","138","14","41","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"05","秋田県","66","24","３／４","229","10%","235","0","３／４","24","0%","27","36","３／４","163","22%","69","0","6","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"06","山形県","176","88","４／４","222","40%","215","4","４／４","26","15%","26","12","４／４","134","9%","134","57","5","14","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"07","福島県","353","223","４／４","469","48%","350","11","４／４","49","22%","50","76","４／４","204","37%","160","21","0","33","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"08","茨城県","539","187","３／３","619","30%","600","19","３／３","70","27%","70","152","４／６","580","26%","580","200","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"09","栃木県","226","92","３／４","409","22%","409","4","３／４","46","9%","46","79","３／４","638","12%","638","45","10","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"10","群馬県","329","128","３／３","422","30%","330","2","２／３","74","3%","50","155","２／３","1300","12%","1300","0","0","46","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"11","埼玉県","2138","582","４／４","1511","39%","1511","31","４／４","155","20%","200","357","３／３","1436","25%","1450","1016","0","183","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"12","千葉県","1181","352","４／４","1361","26%","1200","18","４／４","92","20%","180","304","４／４","968","31%","1400","479","0","46","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"13","東京都","6227","1979","４／４","5594","35%","6044","404","４／４","1207","33%","500","1503","４／４","2970","51%","3000","1484","94","1167","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"14","神奈川県","1828","431","３／４","1790","24%","1790","38","３／４","199","19%","199","386","２／２","1282","30%","1000","1010","1","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
"15","新潟県","364","165","２／３","555","30%","555","2","２／３","112","2%","112","41","２／３","222","18%","222","158","0","0","2021-04-28","https://www.mhlw.go.jp/content/10900000/000775968.xlsx"
