"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"29","奈良県","190","119","119","３／３","437","443","27%","63%","11","11","３／３","32","32","34%","52","３／３","711","711","7%","0","0","19","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"30","和歌山県","32","30","30","３／３","470","470","6%","94%","1","1","３／３","26","26","4%","0","３／３","137","137","0%","0","0","2","2","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"31","鳥取県","11","11","11","２／３","259","323","3%","100%","0","0","２／３","44","47","0%","0","１／１","141","141","0%","0","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"32","島根県","27","27","27","１／５","201","324","8%","100%","2","2","１／５","8","25","8%","0","１／５","98","98","0%","0","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"33","岡山県","269","181","166","４／４","492","492","34%","67%","7","7","４／４","58","58","12%","57","４／４","404","404","14%","31","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"34","広島県","742","320","320","４／４","705","705","45%","43%","20","20","４／４","56","56","36%","148","４／４","1748","1748","8%","206","14","68","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"35","山口県","222","170","170","４／４","527","527","32%","77%","3","3","４／４","47","47","6%","18","４／４","483","1044","2%","18","8","16","12","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"36","徳島県","19","19","19","３／４","234","234","8%","100%","0","0","３／４","25","25","0%","0","３／４","276","276","0%","0","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"37","香川県","78","57","53","３／３","230","230","23%","73%","5","5","３／３","28","28","18%","16","３／３","201","201","8%","1","0","4","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"38","愛媛県","35","26","26","３／３","218","218","12%","74%","4","4","３／３","19","19","21%","4","３／３","233","233","2%","5","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"39","高知県","172","88","88","５／５","226","226","39%","51%","12","12","５／５","24","58","21%","58","５／５","97","221","26%","0","0","26","4","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"40","福岡県","2111","799","753","４／４","1301","1368","55%","38%","54","54","４／４","185","187","29%","255","４／４","2106","2106","12%","1003","5","54","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"41","佐賀県","61","49","49","３／５","321","365","13%","80%","1","1","３／５","27","48","2%","12","１／４","472","472","3%","0","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"42","長崎県","158","78","78","４／４","351","421","19%","49%","1","1","４／４","38","38","3%","60","４／４","406","406","15%","20","0","0","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"43","熊本県","226","181","181","２／２","598","598","30%","80%","13","13","２／２","56","56","23%","19","２／２","520","520","4%","22","0","4","2","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"44","大分県","129","99","99","３／４","438","438","23%","77%","3","3","３／４","43","43","7%","19","３／４","340","1014","2%","5","0","6","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"45","宮崎県","34","28","28","２／３","245","285","10%","82%","3","3","２／３","21","33","9%","4","２／３","150","300","1%","1","0","1","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"46","鹿児島県","230","142","142","４／４","419","419","34%","62%","2","2","４／４","41","41","5%","79","４／４","762","762","10%","0","0","9","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
"47","沖縄県","2497","623","623","５／５","702","702","89%","25%","80","80","５／５","98","98","82%","169","５／５","413","700","24%","1199","0","506","0","2021-06-09","https://www.mhlw.go.jp/content/10900000/000791944.xlsx"
