"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","7589","1028","３／３","1809","57%","1809","60","３／３","162","37%","162","439","２／２","2055","21%","2055","6018","104","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"02","青森県","276","80","４／４","211","38%","225","4","４／４","31","13%","30","56","４／４","210","27%","100","86","0","54","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"03","岩手県","152","110","２／３","393","28%","350","2","２／３","60","3%","45","42","２／３","381","11%","300","0","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"04","宮城県","246","105","５／５","350","30%","450","7","５／５","45","16%","65","86","５／５","1000","9%","1000","37","6","12","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"05","秋田県","102","78","３／４","229","34%","235","1","３／４","24","4%","27","18","３／４","163","11%","69","0","1","5","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"06","山形県","223","95","４／４","237","40%","215","6","４／４","26","23%","26","28","４／４","134","21%","134","79","0","21","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"07","福島県","330","254","４／４","496","51%","350","20","４／４","45","44%","50","46","４／４","204","23%","160","25","0","5","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"08","茨城県","475","207","３／３","600","35%","600","11","３／３","70","16%","70","87","４／６","630","14%","630","174","7","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"09","栃木県","329","160","３／４","409","39%","409","8","３／４","46","17%","46","105","３／４","638","16%","638","64","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"10","群馬県","537","234","３／３","432","54%","330","19","３／３","74","26%","50","232","３／３","1549","15%","1300","0","0","71","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"11","埼玉県","1981","693","４／４","1607","43%","1607","51","４／４","162","31%","200","322","３／３","1436","22%","1450","838","0","128","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"12","千葉県","1119","416","４／４","1361","31%","1200","26","４／４","94","28%","180","311","４／４","968","32%","1400","364","0","28","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"13","東京都","5500","2241","４／４","5594","40%","6044","535","４／４","1207","44%","500","1052","４／４","3050","34%","3000","1409","4","794","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"14","神奈川県","2060","599","３／４","1790","33%","1790","75","３／４","199","38%","199","394","２／２","1656","24%","1656","1058","9","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
"15","新潟県","354","207","２／３","555","37%","555","7","２／３","112","6%","112","46","２／３","222","21%","222","101","0","0","2021-05-26","https://www.mhlw.go.jp/content/10900000/000786236.xlsx"
