"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1042","569","２／３","1826","31%","1826","23","２／３","162","14%","162","270","２／２","2055","13%","2055","203","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"02","青森県","168","55","３／４","193","28%","225","0","３／４","31","0%","30","63","３／４","210","30%","100","7","18","25","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"03","岩手県","47","36","２／３","393","9%","350","1","２／３","60","2%","45","11","２／３","381","3%","300","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"04","宮城県","764","186","５／５","347","54%","450","18","５／５","42","43%","65","276","５／５","900","31%","900","251","0","51","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"05","秋田県","60","31","３／４","229","14%","235","0","３／４","24","0%","27","26","３／４","163","16%","69","0","3","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"06","山形県","201","83","４／４","222","37%","215","5","４／４","26","19%","26","24","４／４","134","18%","134","62","12","20","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"07","福島県","304","212","４／４","469","45%","350","11","４／４","49","22%","50","62","４／４","204","30%","160","19","0","11","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"08","茨城県","443","143","３／３","619","23%","600","11","３／３","70","16%","70","110","４／６","580","19%","580","190","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"09","栃木県","178","110","３／４","409","27%","409","3","３／４","46","7%","46","54","３／４","638","8%","638","14","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"10","群馬県","278","122","２／３","422","29%","330","7","２／３","74","9%","50","114","２／３","1300","9%","1300","0","0","42","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"11","埼玉県","1787","485","４／４","1493","32%","1493","32","４／４","155","21%","200","367","３／３","1436","26%","1450","728","0","207","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"12","千葉県","1163","335","４／４","1361","25%","1200","10","４／４","92","11%","180","326","４／４","968","34%","1400","465","0","37","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"13","東京都","5314","1643","４／４","5048","33%","6044","368","４／４","1024","36%","500","1320","４／４","2870","46%","3000","1234","39","1078","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"14","神奈川県","1604","371","２／４","1790","21%","1790","28","２／４","199","14%","199","330","２／２","1282","26%","1000","900","3","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"15","新潟県","302","156","２／３","555","28%","555","3","２／３","112","3%","112","51","２／３","222","23%","222","95","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"16","富山県","134","73","２／４","500","15%","500","1","２／４","36","3%","36","57","２／４","305","19%","100","4","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"17","石川県","219","191","２／２","258","74%","254","12","２／２","35","34%","35","28","２／２","340","8%","340","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"18","福井県","111","111","４／４","255","44%","255","1","４／４","24","4%","24","0","１／４","75","0%","75","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"19","山梨県","65","44","２／４","285","15%","250","1","２／４","24","4%","24","21","２／４","449","5%","100","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"20","長野県","398","208","３／４","434","48%","434","2","３／４","49","4%","49","119","３／４","715","17%","375","66","0","5","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"21","岐阜県","270","185","３／３","694","27%","694","4","３／３","59","7%","59","61","３／３","541","11%","541","0","0","24","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"22","静岡県","231","84","４／４","493","17%","450","2","４／４","40","5%","67","64","４／４","592","11%","450","83","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"23","愛知県","2185","389","４／４","1215","32%","839","15","４／４","126","12%","121","340","４／４","1300","26%","1300","1266","0","190","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"24","三重県","490","205","３／３","392","52%","392","16","３／３","53","30%","53","17","３／３","100","17%","100","268","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"25","滋賀県","356","184","３／３","351","52%","350","8","３／３","49","16%","62","139","３／３","350","40%","350","24","0","9","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"26","京都府","1008","252","３／３","466","54%","453","24","３／３","86","28%","86","187","３／３","826","23%","826","569","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"27","大阪府","13898","1664","４／４","2022","82%","2022","418","４／４","464","90%","221","1211","３／３","3059","40%","3059","8530","0","2493","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"28","兵庫県","4147","693","６／６","839","83%","750","89","６／６","116","77%","120","499","６／６","1168","43%","1000","1281","0","1674","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"29","奈良県","919","275","３／３","384","72%","384","21","３／３","30","70%","30","188","３／３","236","80%","236","0","0","456","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"30","和歌山県","343","343","４／４","400","86%","400","7","４／４","40","18%","40","0","４／４","137","0%","137","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"31","鳥取県","88","75","２／３","313","24%","300","0","２／３","47","0%","40","13","１／３","340","4%","150","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"32","島根県","9","9","１／５","253","4%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"33","岡山県","396","165","３／４","412","40%","250","11","３／４","43","26%","40","152","３／４","207","73%","180","79","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"34","広島県","201","76","１／３","485","16%","500","1","１／３","48","2%","70","100","１／３","1400","7%","1400","24","1","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"35","山口県","144","110","２／３","480","23%","480","0","２／３","124","0%","137","34","１／３","834","4%","834","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"36","徳島県","334","171","３／４","235","73%","210","7","３／４","25","28%","25","163","３／４","226","72%","226","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"37","香川県","141","67","３／３","209","32%","209","3","３／３","26","12%","26","40","３／３","101","40%","101","0","0","34","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"38","愛媛県","383","92","３／３","270","34%","223","8","３／３","33","24%","33","45","３／３","192","23%","117","208","15","23","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"39","高知県","27","19","２／４","200","10%","200","0","２／４","58","0%","57","6","２／４","203","3%","190","2","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"40","福岡県","1103","260","３／３","802","32%","760","14","３／３","111","13%","110","475","３／３","1387","34%","1200","354","14","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"41","佐賀県","104","36","３／５","328","11%","328","0","３／５","46","0%","46","68","１／４","377","18%","377","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"42","長崎県","132","59","３／４","424","14%","421","1","３／４","38","3%","42","40","３／４","384","10%","384","33","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"43","熊本県","176","111","３／３","505","22%","420","3","３／３","59","5%","59","47","３／３","440","11%","140","18","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"44","大分県","40","32","１／４","367","9%","367","1","１／４","43","2%","43","8","１／２","700","1%","170","0","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"45","宮崎県","55","32","２／３","281","11%","281","0","２／３","33","0%","33","10","２／３","250","4%","250","13","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"46","鹿児島県","77","58","３／４","376","15%","300","0","３／４","42","0%","48","16","３／４","577","3%","370","3","0","0","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
"47","沖縄県","1242","469","５／５","536","88%","425","40","５／５","63","63%","51","210","５／５","413","51%","340","527","0","36","2021-04-21","https://www.mhlw.go.jp/content/10900000/000772807.xlsx"
