"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1383","704","２／３","1811","39%","1811","18","２／３","182","10%","182","307","２／２","1835","17%","1835","304","68","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"02","青森県","56","33","１／４","212","16%","225","2","１／４","31","6%","30","4","１／４","290","1%","100","12","0","7","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"03","岩手県","33","28","２／３","385","7%","350","1","２／３","60","2%","45","5","２／３","381","1%","300","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"04","宮城県","419","134","４／５","345","39%","450","8","４／５","43","19%","65","200","４／５","500","40%","500","85","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"05","秋田県","58","42","３／４","229","18%","235","1","３／４","24","4%","27","16","３／４","58","28%","69","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"06","山形県","38","38","３／４","216","18%","215","2","３／４","26","8%","26","0","３／４","134","0%","134","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"07","福島県","269","213","４／４","469","45%","350","11","４／４","42","26%","50","23","４／４","160","14%","160","8","0","25","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"08","茨城県","720","261","３／３","600","44%","600","17","３／３","70","24%","70","113","４／４","324","35%","324","295","51","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"09","栃木県","798","186","４／４","337","55%","337","21","４／４","46","46%","46","79","４／４","284","28%","284","0","145","388","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"10","群馬県","361","181","３／３","335","54%","330","11","３／３","71","15%","50","146","３／３","1300","11%","1300","0","0","34","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"11","埼玉県","4611","867","４／４","1278","68%","1400","92","４／４","140","66%","200","302","３／３","1347","22%","1450","3189","0","253","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"12","千葉県","6299","713","４／４","1093","65%","1200","54","４／４","88","61%","180","271","４／４","1038","26%","1400","5116","0","199","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"13","東京都","16120","2933","４／４","4000","73%","4000","注８　567","４／４","注８　500","113%","500","737","４／４","2630","28%","3000","7151","219","5080","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"14","神奈川県","3797","928","２／３","1555","60%","1555","105","２／３","190","55%","190","250","２／２","1347","19%","1000","2619","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"15","新潟県","124","96","２／３","456","21%","456","1","２／３","112","1%","112","23","１／３","176","13%","176","5","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"16","富山県","57","52","２／４","500","10%","500","4","２／４","36","11%","36","3","２／４","377","1%","100","2","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"17","石川県","129","95","２／２","258","37%","254","3","２／２","35","9%","35","34","２／２","340","10%","340","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"18","福井県","77","77","３／４","255","30%","255","4","３／４","24","17%","24","0","１／４","75","0%","75","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"19","山梨県","64","58","３／４","285","20%","250","4","３／４","24","17%","24","6","３／４","139","4%","100","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"20","長野県","246","146","４／４","350","42%","350","2","４／４","48","4%","48","30","３／４","250","12%","250","68","0","2","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"21","岐阜県","518","364","３／３","625","58%","625","14","３／３","51","27%","51","70","３／３","603","12%","603","0","0","84","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"22","静岡県","816","171","４／４","467","37%","450","9","４／４","40","23%","67","81","４／４","592","14%","450","0","0","564","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"23","愛知県","2705","718","４／４","1102","65%","839","67","４／４","125","54%","121","247","４／４","1300","19%","1300","1525","0","215","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"24","三重県","405","250","３／３","357","70%","357","6","３／３","53","11%","53","21","３／３","100","21%","100","134","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"25","滋賀県","341","179","３／３","349","51%","349","14","３／３","47","30%","62","106","３／３","260","41%","420","51","0","5","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"26","京都府","1468","273","３／３","720","38%","720","35","３／３","86","41%","86","124","３／３","826","15%","826","1071","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"27","大阪府","5731","1211","４／４","1776","68%","1615","270","４／４","422","64%","215","1104","３／３","2416","46%","1036","2136","0","1280","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"28","兵庫県","1833","586","６／６","756","78%","750","72","６／６","116","62%","120","414","６／６","988","42%","1000","0","0","833","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"29","奈良県","326","209","３／３","368","57%","500","7","３／３","28","25%","25","102","３／３","250","41%","250","0","0","15","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"30","和歌山県","136","136","３／４","400","34%","400","1","３／４","40","3%","40","0","３／４","137","0%","137","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"31","鳥取県","40","36","２／３","313","12%","300","0","２／３","47","0%","40","4","１／３","340","1%","150","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"32","島根県","14","14","２／５","253","6%","253","0","２／５","25","0%","25","0","２／５","98","0%","98","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"33","岡山県","252","119","３／４","401","30%","250","10","３／４","37","27%","40","39","３／４","207","19%","180","91","3","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"34","広島県","338","167","３／３","471","35%","500","12","３／３","36","33%","70","115","３／３","1038","11%","1400","38","18","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"35","山口県","384","223","３／３","475","47%","475","2","３／３","124","2%","137","161","１／３","834","19%","834","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"36","徳島県","101","60","２／４","200","30%","200","1","２／４","25","4%","25","41","２／４","180","23%","180","0","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"37","香川県","153","54","３／３","199","27%","199","1","３／３","26","4%","26","30","３／３","101","30%","101","0","55","14","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"38","愛媛県","166","69","３／３","229","30%","223","4","３／３","33","12%","33","27","３／３","192","14%","117","53","17","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"39","高知県","52","21","４／４","200","11%","200","6","４／４","58","10%","57","29","４／４","203","14%","190","2","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
"40","福岡県","2839","572","３／３","677","84%","760","35","３／３","110","32%","110","593","３／３","1387","43%","1200","1674","0","0","2021-01-27","https://www.mhlw.go.jp/content/10900000/000731216.xlsx"
