"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","844","478","２／３","1826","26%","1826","18","２／３","162","11%","162","237","２／２","2055","12%","2055","127","2","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"02","青森県","132","46","１／４","193","24%","225","0","１／４","31","0%","30","47","１／４","210","22%","100","2","10","27","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"03","岩手県","69","52","２／３","385","14%","350","0","２／３","60","0%","45","17","２／３","381","4%","300","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"04","宮城県","992","209","５／５","345","61%","450","15","５／５","43","35%","65","355","５／５","900","39%","900","428","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"05","秋田県","43","20","３／４","229","9%","235","0","３／４","24","0%","27","23","３／４","163","14%","69","0","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"06","山形県","253","83","４／４","222","37%","215","3","４／４","26","12%","26","27","４／４","134","20%","134","118","9","16","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"07","福島県","284","194","４／４","469","41%","350","12","４／４","49","24%","50","87","４／４","204","43%","160","3","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"08","茨城県","308","129","３／３","619","21%","600","7","３／３","70","10%","70","71","４／６","580","12%","580","108","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"09","栃木県","189","97","３／４","409","24%","409","3","３／４","46","7%","46","70","３／４","638","11%","638","22","0","0","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"10","群馬県","223","80","２／３","422","19%","330","5","２／３","74","7%","50","127","２／３","1300","10%","1300","0","0","16","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"11","埼玉県","1517","476","４／４","1511","32%","1511","30","４／４","155","19%","200","334","３／３","1436","23%","1450","551","0","156","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"12","千葉県","895","331","４／４","1361","24%","1200","15","４／４","92","16%","180","199","４／４","968","21%","1400","331","0","34","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
"13","東京都","4148","1450","４／４","5048","29%","6044","333","４／４","1024","33%","500","1058","４／４","3020","35%","3000","840","3","797","2021-04-14","https://www.mhlw.go.jp/content/10900000/000770037.xlsx"
