"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","2279","935","２／３","1811","52%","1811","28","２／３","182","15%","182","678","２／２","1660","41%","1660","605","61","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"02","青森県","26","22","１／４","201","11%","225","2","１／４","31","6%","30","0","１／４","260","0%","100","0","0","4","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"03","岩手県","80","71","２／３","374","19%","350","2","２／３","59","3%","45","9","２／３","381","2%","300","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"04","宮城県","136","47","３／５","345","14%","450","5","３／５","43","12%","65","49","３／５","300","16%","300","40","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"05","秋田県","12","4","２／４","222","2%","235","0","２／４","22","0%","27","8","２／４","58","14%","69","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"06","山形県","31","31","２／４","216","14%","215","1","２／４","26","4%","26","0","２／４","108","0%","108","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"07","福島県","48","48","２／４","475","10%","350","5","２／４","42","12%","50","0","２／４","160","0%","160","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"08","茨城県","354","165","３／３","550","30%","500","11","３／３","70","16%","70","50","３／４","324","15%","324","125","14","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"09","栃木県","140","123","３／４","313","39%","313","7","３／４","41","17%","41","8","３／４","284","3%","250","0","9","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"10","群馬県","199","144","２／３","335","43%","330","1","２／３","71","1%","50","55","２／３","1300","4%","1300","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"11","埼玉県","1203","590","４／４","1211","49%","1400","31","２／４","128","24%","200","158","２／３","1225","13%","1450","351","0","104","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"12","千葉県","874","336","３／４","1147","29%","1200","10","３／４","101","10%","180","162","３／４","710","23%","1400","340","0","36","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"13","東京都","3937","1698","３／４","4000","42%","4000","246","２／４","500","49%","500","712","３／４","1910","37%","3000","1050","0","477","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"14","神奈川県","1363","452","２／３","1939","23%","1939","60","２／３","200","30%","200","207","２／２","867","24%","1000","704","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"15","新潟県","93","83","２／３","456","18%","456","0","２／３","112","0%","112","10","１／３","176","6%","176","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"16","富山県","18","17","２／４","500","3%","500","0","２／４","36","0%","36","1","２／４","125","1%","100","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"17","石川県","24","22","１／２","258","9%","254","0","１／２","35","0%","35","2","１／２","340","1%","340","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"18","福井県","22","22","２／４","215","10%","215","0","２／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"19","山梨県","50","49","２／４","285","17%","250","2","２／４","24","8%","24","1","２／４","139","1%","100","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"20","長野県","123","99","３／４","350","28%","350","0","３／４","48","0%","48","13","３／４","250","5%","250","11","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"21","岐阜県","214","200","３／３","625","32%","625","1","３／３","51","2%","51","14","１／３","466","3%","466","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"22","静岡県","529","195","４／４","472","41%","450","8","４／４","73","11%","67","57","４／４","592","10%","450","0","0","277","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"23","愛知県","1731","382","３／４","897","43%","839","30","３／４","70","43%","121","198","３／４","1300","15%","1300","954","0","197","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"24","三重県","188","175","２／３","349","50%","349","5","２／３","53","9%","53","8","２／３","100","8%","100","5","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"25","滋賀県","77","61","２／４","429","14%","450","2","２／４","45","4%","72","14","２／４","260","5%","250","2","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"26","京都府","229","131","３／３","650","20%","750","14","３／３","86","16%","86","39","３／３","338","12%","338","59","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"27","大阪府","4192","799","４／４","1432","56%","1615","209","４／４","366","57%","215","640","３／３","1555","41%","1036","1700","0","1053","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"28","兵庫県","704","436","５／５","671","65%","650","34","５／５","110","31%","120","180","５／５","698","26%","700","0","0","88","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"29","奈良県","204","160","２／３","467","34%","500","6","２／３","27","22%","25","44","２／３","108","41%","108","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"30","和歌山県","84","84","２／４","400","21%","400","1","２／４","40","3%","40","0","２／４","137","0%","137","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"31","鳥取県","6","6","１／３","313","2%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"32","島根県","6","6","１／５","253","2%","253","1","１／５","25","4%","25","0","１／５","98","0%","98","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"33","岡山県","140","89","２／４","302","29%","250","5","２／４","37","14%","40","26","２／４","207","13%","180","25","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"34","広島県","118","91","１／３","553","16%","500","5","１／３","72","7%","70","20","１／３","794","3%","700","7","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"35","山口県","61","59","１／３","423","14%","423","3","１／３","137","2%","137","2","１／３","834","0%","834","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"36","徳島県","6","6","２／４","200","3%","200","1","２／４","25","4%","25","0","２／４","150","0%","150","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"37","香川県","22","21","１／３","199","11%","199","0","１／３","26","0%","26","1","１／３","101","1%","101","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"38","愛媛県","141","64","３／３","229","28%","223","6","３／３","33","18%","33","11","３／３","117","9%","117","66","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"39","高知県","18","18","１／４","200","9%","200","0","１／４","58","0%","57","0","１／４","361","0%","190","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"40","福岡県","332","124","１／３","551","23%","760","6","１／３","90","7%","110","113","１／３","1057","11%","1200","95","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"41","佐賀県","27","25","１／４","274","9%","274","0","１／４","46","0%","46","2","１／４","253","1%","253","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"42","長崎県","18","10","２／４","395","3%","395","0","２／４","27","0%","42","7","２／４","352","2%","550","1","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"43","熊本県","92","66","２／３","400","17%","400","8","２／３","59","14%","59","14","２／３","1430","1%","140","12","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"44","大分県","97","57","２／４","336","17%","336","1","２／４","41","2%","41","40","１／２","700","6%","170","0","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"45","宮崎県","97","34","２／３","246","14%","246","2","２／３","33","6%","33","38","２／３","250","15%","250","25","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"46","鹿児島県","36","19","２／４","342","6%","300","0","２／４","38","0%","48","16","２／４","370","4%","370","1","0","0","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
"47","沖縄県","393","212","４／５","447","47%","425","26","４／５","53","49%","51","87","３／５","370","24%","340","93","0","1","2021-12-02","https://www.mhlw.go.jp/content/10900000/000703096.pdf"
