"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","3050","644","644","２／３","1622","1995","32%","21%","15","15","２／３","121","148","10%","535","２／２","2385","2385","22%","1367","10","504","24","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"02","青森県","223","71","71","２／４","274","288","25%","32%","0","0","２／４","31","31","0%","93","４／４","310","310","30%","21","0","38","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"03","岩手県","226","145","145","２／３","250","350","41%","64%","0","0","２／３","30","45","0%","72","２／３","85","381","19%","0","0","9","9","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"04","宮城県","785","178","178","５／５","359","361","49%","23%","9","9","５／５","45","45","20%","383","５／５","850","850","45%","157","0","67","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"05","秋田県","94","42","42","５／６","184","230","18%","45%","2","2","５／６","15","22","9%","38","５／６","304","304","13%","0","0","14","3","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"06","山形県","271","80","80","３／４","237","237","34%","30%","4","4","３／４","26","26","15%","60","３／４","134","134","45%","94","0","37","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"07","福島県","873","397","392","４／４","597","597","66%","45%","14","14","４／４","45","49","29%","94","４／４","277","330","28%","322","0","60","11","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"08","茨城県","1957","395","395","４／４","600","600","66%","20%","23","23","４／４","70","70","33%","140","４／７","300","1020","14%","1422","0","0","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"09","栃木県","1428","243","243","３／３","448","448","54%","17%","16","16","３／３","46","46","35%","132","３／３","557","638","21%","810","27","243","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"10","群馬県","892","322","322","４／４","470","470","69%","36%","15","15","４／４","76","76","20%","285","３／４","971","1300","22%","0","0","285","0","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"11","埼玉県","16243","1082","1082","４／４","1685","1685","64%","7%","102","102","４／４","165","165","62%","555","４／４","1653","1986","28%","11315","0","3291","5","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"12","千葉県","8145","861","847","３／３","1300","1391","61%","11%","59","59","３／３","120","134","44%","396","３／３","1012","1012","39%","6145","0","743","116","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
"13","東京都","35689","3667","3640","４／４","5967","6406","57%","10%","947","947","４／４","1207","1207","78%","1770","４／４","3080","3080","57%","19388","9","10864","530","2021-08-11","https://www.mhlw.go.jp/content/10900000/000819111.xlsx"
