"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","216","110","１／３","1811","6%","1811","2","１／３","182","1%","182","106","１／２","1170","9%","1170","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"02","青森県","97","46","２／４","187","25%","225","2","２／４","31","6%","30","14","２／４","130","11%","100","1","0","36","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"03","岩手県","3","3","１／３","374","1%","350","0","１／３","59","0%","45","0","１／３","381","0%","300","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"04","宮城県","45","31","３／４","345","9%","450","1","３／４","43","2%","65","9","３／４","300","3%","300","5","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"05","秋田県","1","1","２／４","222","0%","235","0","２／４","22","0%","27","0","２／４","58","0%","69","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"06","山形県","1","1","２／４","216","0%","215","0","２／４","26","0%","26","0","２／４","188","0%","188","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"07","福島県","78","77","２／４","469","16%","350","3","２／４","42","7%","50","1","２／４","160","1%","160","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"08","茨城県","31","18","１／３","546","3%","500","2","１／３","72","3%","70","13","３／４","324","4%","324","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"09","栃木県","29","29","２／４","313","9%","313","0","２／４","41","0%","41","0","２／４","284","0%","250","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"10","群馬県","48","36","２／３","305","12%","330","5","２／３","23","22%","50","12","２／３","1300","1%","1300","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"11","埼玉県","409","240","３／４","1206","20%","1400","10","３／４","128","8%","200","106","１／３","1225","9%","1450","30","0","33","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"12","千葉県","337","183","３／４","1147","16%","1200","9","３／４","101","9%","180","61","３／４","710","9%","1400","76","0","17","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"13","東京都","1710","1008","３／４","4000","25%","4000","116","２／４","500","23%","500","295","３／４","1910","15%","3000","234","0","173","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"14","神奈川県","556","267","１／３","1939","14%","1939","23","１／３","200","12%","200","141","１／２","861","16%","1000","148","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"15","新潟県","1","1","１／３","456","0%","456","0","１／３","112","0%","112","0","１／３","176","0%","176","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"16","富山県","0","0","１／４","500","0%","500","0","１／４","36","0%","36","0","１／４","125","0%","100","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"17","石川県","22","22","１／２","258","9%","254","3","１／２","35","9%","35","0","１／２","340","0%","340","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"18","福井県","8","8","１／４","215","4%","215","0","１／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"19","山梨県","1","1","１／４","285","0%","250","0","１／４","24","0%","24","0","１／４","100","0%","100","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"20","長野県","8","8","２／４","350","2%","350","1","２／４","48","2%","48","0","２／４","250","0%","250","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"21","岐阜県","17","17","１／３","625","3%","625","1","１／３","51","2%","51","0","１／３","466","0%","466","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"22","静岡県","14","9","２／４","384","2%","450","0","２／４","34","0%","67","5","２／４","379","1%","450","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"23","愛知県","228","82","２／４","860","10%","839","10","２／４","70","14%","121","32","２／４","1300","2%","1300","101","0","13","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"24","三重県","16","16","２／３","363","4%","363","0","２／３","51","0%","51","0","２／３","100","0%","100","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"25","滋賀県","15","14","２／４","429","3%","450","0","２／４","45","0%","72","0","２／４","260","0%","250","1","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"26","京都府","85","61","２／３","530","12%","750","8","２／３","86","9%","86","12","２／３","338","4%","338","12","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"27","大阪府","476","187","２／４","1361","14%","1615","35","２／４","355","10%","215","106","１／３","1517","7%","1036","77","0","106","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
"28","兵庫県","119","104","２／５","663","16%","650","17","２／５","110","15%","120","15","２／５","698","2%","700","0","0","0","2020-10-21","https://www.mhlw.go.jp/content/10900000/000687004.pdf"
