"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","2826","737","737","３／３","1994","1994","37%","26%","26","26","３／３","143","143","18%","414","２／２","2385","2385","17%","1362","0","313","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"02","青森県","897","149","149","４／４","302","308","48%","17%","3","3","４／４","31","31","10%","86","４／４","320","320","27%","383","0","279","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"03","岩手県","311","177","177","３／３","350","351","50%","57%","2","2","３／３","45","45","4%","122","３／３","300","511","24%","0","0","12","12","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"04","宮城県","1081","199","199","５／５","496","496","40%","18%","26","23","５／５","54","54","43%","520","５／５","1200","1200","43%","296","0","66","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"05","秋田県","121","64","64","６／６","273","273","23%","53%","1","1","６／６","22","22","5%","47","６／６","304","304","15%","4","4","6","3","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"06","山形県","212","90","90","４／４","237","237","38%","42%","5","5","４／４","26","26","19%","36","４／４","134","134","27%","72","0","14","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"07","福島県","451","268","266","４／４","637","637","42%","59%","13","13","４／４","45","49","27%","71","４／４","503","503","14%","94","0","18","6","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"08","茨城県","1606","402","402","４／４","791","791","51%","25%","26","26","４／４","70","70","37%","295","６／７","830","1020","29%","909","3","0","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"09","栃木県","1146","224","224","３／３","461","461","49%","20%","15","15","３／３","46","46","33%","180","３／３","557","638","28%","730","2","12","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"10","群馬県","1403","284","284","４／４","472","472","60%","20%","25","25","４／４","76","76","33%","421","４／４","1319","1747","24%","338","0","360","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"11","埼玉県","11610","1331","1283","４／４","1852","1852","69%","11%","143","143","４／４","236","236","61%","607","４／４","1843","2523","24%","7451","0","2221","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"12","千葉県","11301","918","915","３／３","1449","1473","62%","8%","112","112","３／３","148","154","73%","400","３／３","1012","1012","40%","9177","0","806","15","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"13","東京都","21849","3970","3954","４／４","6583","6583","60%","18%","1092","1091","４／４","1207","1207","90%","1791","４／４","3310","3310","54%","12486","5","3602","94","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"14","神奈川県","10915","1568","1568","４／４","2253","2253","70%","14%","235","235","４／４","290","290","81%","456","１／１","2428","2428","19%","8709","13","182","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"15","新潟県","547","204","204","２／３","555","555","37%","37%","10","10","２／３","112","112","9%","36","２／３","300","300","12%","302","0","5","5","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"16","富山県","401","151","151","３／４","442","500","30%","38%","8","8","３／４","36","36","22%","75","３／４","500","500","15%","175","6","0","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"17","石川県","340","114","114","３／３","413","435","26%","34%","4","4","３／３","39","39","10%","79","３／３","560","560","14%","126","0","21","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"18","福井県","199","149","149","５／５","324","324","46%","75%","2","2","５／５","24","24","8%","50","５／５","146","146","34%","0","0","0","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"19","山梨県","408","184","184","４／４","367","367","50%","45%","3","3","４／４","24","24","13%","211","４／４","673","673","31%","13","6","0","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"20","長野県","548","148","148","３／３","490","490","30%","27%","2","2","３／３","42","42","5%","158","３／３","523","523","30%","182","0","60","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"21","岐阜県","1884","493","493","３／３","817","817","60%","26%","21","21","３／３","59","59","36%","847","３／３","1185","1185","71%","180","1","364","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"22","静岡県","3274","411","399","５／５","755","755","53%","13%","29","29","５／５","62","62","47%","177","５／５","735","735","24%","2539","59","147","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"23","愛知県","22083","1048","1010","４／４","1570","1570","64%","5%","97","97","４／４","170","170","57%","631","４／４","1514","1577","40%","19178","19","1226","8","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"24","三重県","2755","299","299","３／３","508","516","58%","11%","31","31","３／３","60","60","52%","99","３／３","259","259","38%","2357","0","0","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"25","滋賀県","1343","286","286","４／４","388","390","73%","21%","14","14","４／４","52","52","27%","219","４／４","677","677","32%","810","0","28","2","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"26","京都府","4516","480","480","３／３","614","644","75%","11%","87","87","３／３","152","152","57%","430","３／３","1126","1126","38%","3597","0","9","9","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"27","大阪府","23352","2303","2303","５／５","3096","3283","70%","10%","613","613","４／５","1048","1235","50%","3462","６／６","6350","6350","55%","15523","0","2064","0","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
"28","兵庫県","6299","876","876","６／６","1237","1237","71%","14%","85","85","６／６","142","142","60%","850","６／６","1723","1723","49%","3701","0","872","427","2021-09-08","https://www.mhlw.go.jp/content/10900000/000831147.xlsx"
