"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","709","384","２／３","1827","21%","1827","8","２／３","161","5%","161","123","２／２","1835","7%","1835","148","54","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"02","青森県","42","39","１／４","204","19%","225","0","１／４","31","0%","30","3","１／４","190","2%","100","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"03","岩手県","26","13","２／３","385","3%","350","0","２／３","60","0%","45","13","２／３","381","3%","300","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"04","宮城県","92","36","４／５","345","10%","450","3","４／５","43","7%","65","29","４／５","500","6%","500","27","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"05","秋田県","6","6","２／４","229","3%","235","0","２／４","24","0%","27","0","２／４","70","0%","69","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"06","山形県","12","12","３／４","216","6%","215","0","３／４","26","0%","26","0","３／４","134","0%","134","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"07","福島県","90","86","４／４","469","18%","350","7","４／４","49","14%","50","4","４／４","244","2%","160","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"08","茨城県","337","163","３／３","619","26%","600","12","３／３","70","17%","70","51","４／４","324","16%","324","118","5","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"09","栃木県","173","83","３／４","377","22%","377","8","３／４","46","17%","46","36","３／４","638","6%","638","0","46","8","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"10","群馬県","180","95","３／３","371","26%","330","6","３／３","74","8%","50","43","３／３","1300","3%","1300","0","0","42","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"11","埼玉県","1659","741","４／４","1349","55%","1466","36","４／４","143","25%","200","222","３／３","1436","15%","1450","591","0","105","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"12","千葉県","1807","646","４／４","1293","50%","1200","21","４／４","92","23%","180","216","４／４","968","22%","1400","754","0","191","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"13","東京都","3503","1894","４／４","5000","38%","4000","327","４／４","1000","33%","500","408","４／４","3290","12%","3000","727","45","429","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"14","神奈川県","1116","493","２／３","1555","32%","1555","32","２／３","190","17%","190","100","２／２","1573","6%","1000","523","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"15","新潟県","82","70","２／３","555","13%","555","1","２／３","112","1%","112","5","２／３","222","2%","222","7","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"16","富山県","23","20","１／４","500","4%","500","2","１／４","36","6%","36","2","１／４","377","1%","100","1","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"17","石川県","144","112","２／２","258","43%","254","6","２／２","35","17%","35","32","２／２","340","9%","340","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"18","福井県","14","14","１／４","255","5%","255","0","１／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"19","山梨県","13","13","１／４","285","5%","250","2","１／４","24","8%","24","0","３／４","139","0%","100","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"20","長野県","17","14","４／４","434","3%","434","0","４／４","49","0%","49","0","４／４","375","0%","375","3","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"21","岐阜県","181","156","３／３","694","22%","694","9","３／３","59","15%","59","19","３／３","603","3%","603","0","0","6","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"22","静岡県","233","101","４／４","467","22%","450","1","４／４","40","3%","67","53","４／４","592","9%","450","79","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"23","愛知県","755","364","４／４","1215","30%","839","31","４／４","126","25%","121","67","４／４","1300","5%","1300","273","0","51","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"24","三重県","145","140","３／３","384","36%","384","8","３／３","53","15%","53","3","３／３","100","3%","100","2","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"25","滋賀県","137","104","３／３","351","30%","349","9","３／３","49","18%","62","30","３／３","403","7%","420","3","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"26","京都府","390","124","３／３","416","30%","416","15","３／３","86","17%","86","9","３／３","826","1%","826","257","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"27","大阪府","1217","685","４／４","1975","35%","1975","156","４／４","408","38%","215","179","３／３","2416","7%","2416","269","0","84","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"28","兵庫県","534","321","６／６","839","38%","750","50","６／６","116","43%","120","70","６／６","1130","6%","1000","0","0","143","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"29","奈良県","108","89","３／３","370","24%","372","4","３／３","27","15%","30","14","３／３","254","6%","254","0","0","5","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"30","和歌山県","17","17","２／４","400","4%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"31","鳥取県","2","2","２／３","313","1%","300","0","２／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"32","島根県","6","6","１／５","253","2%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"33","岡山県","53","43","２／４","406","11%","250","2","２／４","43","5%","40","7","２／４","207","3%","180","3","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"34","広島県","77","40","３／３","477","8%","500","6","３／３","36","17%","70","26","３／３","1038","3%","1400","11","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"35","山口県","74","62","３／３","475","13%","475","1","３／３","124","1%","137","12","１／３","834","1%","834","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"36","徳島県","35","34","２／４","200","17%","200","1","２／４","25","4%","25","1","２／４","210","0%","210","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"37","香川県","38","22","３／３","209","11%","209","1","３／３","26","4%","26","12","３／３","101","12%","101","0","0","4","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"38","愛媛県","39","27","３／３","270","10%","223","1","３／３","33","3%","33","9","３／３","192","5%","117","1","2","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"39","高知県","4","4","２／４","200","2%","200","1","２／４","58","2%","57","0","２／４","203","0%","190","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"40","福岡県","867","359","３／３","764","47%","760","25","３／３","111","23%","110","166","３／３","1387","12%","1200","247","95","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"41","佐賀県","37","25","４／４","328","8%","328","0","４／４","46","0%","46","11","１／４","377","3%","377","1","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"42","長崎県","38","28","４／４","424","7%","421","1","４／４","38","3%","42","4","４／４","384","1%","384","6","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"43","熊本県","55","48","１／３","473","10%","420","7","１／３","59","12%","59","7","１／３","380","2%","140","0","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"44","大分県","51","41","２／４","367","11%","367","0","２／４","43","0%","43","7","１／２","700","1%","170","3","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"45","宮崎県","31","16","３／３","274","6%","274","0","３／３","33","0%","33","13","３／３","250","5%","250","2","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"46","鹿児島県","65","55","３／４","375","15%","300","3","３／４","42","7%","48","7","３／４","577","1%","370","3","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
"47","沖縄県","269","185","５／５","475","39%","425","17","５／５","53","32%","51","62","５／５","440","14%","340","22","0","0","2021-02-24","https://www.mhlw.go.jp/content/10900000/000746037.xlsx"
