"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","5790","919","３／３","1809","51%","1809","42","３／３","162","26%","162","412","２／２","2055","20%","2055","4404","55","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"02","青森県","280","83","４／４","211","39%","225","3","４／４","31","10%","30","55","４／４","210","26%","100","84","17","41","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"03","岩手県","186","125","２／３","393","32%","350","1","２／３","60","2%","45","61","２／３","381","16%","300","0","0","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"04","宮城県","318","115","５／５","350","33%","450","9","５／５","45","20%","65","139","５／５","1000","14%","1000","33","7","24","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"05","秋田県","144","75","３／４","229","33%","235","0","３／４","24","0%","27","47","３／４","163","29%","69","0","5","17","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"06","山形県","195","81","４／４","237","34%","215","5","４／４","26","19%","26","52","４／４","134","39%","134","42","0","20","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"07","福島県","515","345","４／４","469","74%","350","23","４／４","49","47%","50","75","４／４","204","37%","160","71","0","24","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"08","茨城県","579","220","３／３","600","37%","600","15","３／３","70","21%","70","115","４／６","630","18%","630","241","3","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"09","栃木県","346","157","３／４","409","38%","409","3","３／４","46","7%","46","117","３／４","638","18%","638","70","2","0","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
"10","群馬県","665","274","３／３","432","63%","330","17","３／３","74","23%","50","254","３／３","1366","19%","1300","0","0","137","2021-05-19","https://www.mhlw.go.jp/content/10900000/000783157.xlsx"
