"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1330","641","２／３","1827","35%","1827","12","２／３","161","7%","161","360","２／２","1835","20%","1835","207","122","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"02","青森県","55","38","１／４","209","18%","225","1","１／４","31","3%","30","14","１／４","190","7%","100","2","0","1","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"03","岩手県","22","21","２／３","385","5%","350","2","２／３","60","3%","45","1","２／３","381","0%","300","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"04","宮城県","207","74","４／５","345","21%","450","8","４／５","43","19%","65","100","４／５","500","20%","500","33","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"05","秋田県","45","41","３／４","229","18%","235","0","３／４","24","0%","27","4","３／４","58","7%","69","0","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"06","山形県","60","55","３／４","216","25%","215","2","３／４","26","8%","26","2","３／４","134","1%","134","1","0","2","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"07","福島県","202","186","４／４","469","40%","350","11","４／４","42","26%","50","12","４／４","220","5%","160","0","0","4","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"08","茨城県","608","260","３／３","600","43%","600","15","３／３","70","21%","70","101","４／４","324","31%","324","247","0","0","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"09","栃木県","403","150","３／４","377","40%","377","13","３／４","46","28%","46","62","３／４","284","22%","284","0","79","112","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
"10","群馬県","367","197","３／３","341","58%","330","13","３／３","71","18%","50","118","３／３","1300","9%","1300","0","0","52","2021-02-03","https://www.mhlw.go.jp/content/10900000/000735169.xlsx"
