"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","136","48","48","１／３","1114","2000","2%","35%","1","1","１／３","82","137","1%","12","２／２","2370","2370","1%","72","19","4","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"02","青森県","27","15","11","２／４","339","349","3%","56%","1","1","２／４","31","31","3%","4","２／４","700","700","1%","6","0","2","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"03","岩手県","0","0","0","２／３","250","350","0%","－","0","0","２／３","30","45","0%","0","２／３","274","511","0%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"04","宮城県","7","2","2","５／５","498","498","0%","29%","1","1","５／５","54","54","2%","5","５／５","1250","1250","0%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"05","秋田県","2","0","0","３／６","136","273","0%","0%","0","0","３／６","10","22","0%","2","３／６","395","395","1%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"06","山形県","19","17","17","３／４","237","237","7%","89%","0","0","３／４","26","26","0%","0","３／４","134","134","0%","1","0","1","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"07","福島県","7","6","6","４／４","637","637","1%","86%","2","2","４／４","45","49","4%","0","４／４","503","503","0%","1","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"08","茨城県","34","9","9","３／４","410","600","2%","26%","3","3","３／４","50","70","4%","22","６／９","1020","1345","2%","3","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"09","栃木県","20","14","14","１／３","374","502","3%","70%","1","1","１／３","27","46","2%","2","１／３","665","725","0%","4","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"10","群馬県","40","18","18","１／４","194","519","3%","45%","2","2","１／４","15","76","3%","20","１／６","183","1747","1%","2","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"11","埼玉県","167","81","81","３／４","1335","1774","5%","49%","20","20","３／４","162","183","11%","26","４／４","1925","1986","1%","48","0","12","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"12","千葉県","100","50","50","２／３","1093","1305","4%","50%","5","5","２／３","96","106","5%","23","２／３","1390","1390","2%","23","0","4","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"13","東京都","426","177","165","１／３","4923","6651","2%","42%","60","59","１／３","1207","1207","5%","38","４／４","3310","3310","1%","115","0","96","2","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"14","神奈川県","190","107","107","１／４","1292","2000","5%","56%","14","14","１／４","114","210","7%","9","１／１","2428","2428","0%","73","0","1","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"15","新潟県","17","12","12","２／３","555","555","2%","71%","0","0","２／３","112","112","0%","0","２／３","300","300","0%","4","0","1","1","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"16","富山県","8","5","5","１／４","83","500","1%","63%","0","0","１／４","12","36","0%","2","１／４","625","625","0%","1","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"17","石川県","20","7","7","２／３","250","303","2%","35%","1","1","２／３","33","37","3%","10","２／３","560","560","2%","2","0","1","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"18","福井県","4","4","4","１／５","95","424","1%","100%","0","0","１／５","4","24","0%","0","１／５","187","316","0%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"19","山梨県","7","6","6","１／４","89","376","2%","86%","0","0","１／４","7","24","0%","1","１／４","966","966","0%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"20","長野県","32","15","15","１／３","124","529","3%","47%","0","0","１／３","28","43","0%","11","１／３","806","806","1%","6","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"21","岐阜県","67","29","29","１／３","335","859","3%","43%","2","2","１／３","53","59","3%","34","１／３","549","1619","2%","0","0","4","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"22","静岡県","20","6","6","２／５","713","713","1%","30%","0","0","２／５","65","65","0%","8","２／５","870","870","1%","6","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"23","愛知県","246","54","53","４／４","1605","1605","3%","22%","5","5","４／４","173","173","3%","24","４／４","1628","1691","1%","132","0","36","1","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"24","三重県","30","13","13","３／３","466","466","3%","43%","1","1","３／３","51","51","2%","5","３／３","375","375","1%","12","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"25","滋賀県","46","23","23","４／４","437","439","5%","50%","1","1","４／４","52","52","2%","16","４／４","677","677","2%","5","0","2","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"26","京都府","72","30","30","３／３","708","738","4%","42%","0","0","３／３","161","161","0%","17","３／３","1126","1126","2%","25","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"27","大阪府","599","172","172","１／５","2443","3443","5%","29%","51","51","１／５","983","1292","4%","97","４／６","4108","8408","1%","303","0","27","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"28","兵庫県","239","91","91","３／６","700","1357","7%","38%","7","7","３／６","100","142","5%","36","３／６","1000","2011","2%","56","0","56","18","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"29","奈良県","53","22","22","２／３","370","469","5%","42%","2","2","２／３","32","34","6%","18","２／３","1130","1130","2%","0","0","13","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"30","和歌山県","4","4","4","３／３","581","581","1%","100%","0","0","３／３","26","26","0%","0","３／３","151","288","0%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"31","鳥取県","5","5","5","３／３","301","337","1%","100%","0","0","２／３","44","47","0%","0","１／１","277","364","0%","0","0","0","0","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"32","島根県","24","18","18","１／５","212","324","6%","75%","1","1","１／５","5","25","4%","0","１／５","133","133","0%","0","0","6","6","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
"33","岡山県","34","10","10","３／４","491","557","2%","29%","1","1","３／４","51","68","1%","9","３／４","507","507","2%","14","0","1","1","2021-10-27","https://www.mhlw.go.jp/content/10900000/000849653.xlsx"
