"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","4938","872","872","３／３","1994","1994","44%","18%","16","16","３／３","143","143","11%","687","２／２","2385","2385","29%","2607","12","772","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"02","青森県","629","110","110","４／４","302","302","36%","17%","1","1","４／４","31","31","3%","138","４／４","310","310","45%","141","0","240","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"03","岩手県","345","207","207","３／３","350","394","53%","60%","2","2","３／３","45","45","4%","124","３／３","300","511","24%","0","0","14","14","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"04","宮城県","2024","302","269","５／５","375","375","72%","15%","23","22","５／５","45","45","49%","706","５／５","1000","1000","71%","427","0","589","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"05","秋田県","307","107","107","６／６","273","273","39%","35%","4","4","６／６","22","22","18%","113","６／６","304","304","37%","0","0","87","10","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"06","山形県","429","123","123","４／４","237","237","52%","29%","3","3","４／４","26","26","12%","61","４／４","134","134","46%","206","0","39","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"07","福島県","1047","346","346","４／４","637","637","54%","33%","18","18","４／４","45","49","37%","122","４／４","337","337","36%","497","0","82","12","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"08","茨城県","2522","470","470","４／４","600","600","78%","19%","21","21","４／４","70","70","30%","255","５／７","450","1020","25%","1797","1","0","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"09","栃木県","2057","284","284","３／３","461","461","62%","14%","17","17","３／３","46","46","37%","170","３／３","557","638","27%","1307","8","296","296","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"10","群馬県","2561","367","367","４／４","472","472","78%","14%","22","22","４／４","76","76","29%","430","３／４","971","1300","33%","0","0","1764","0","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"11","埼玉県","－","1274","1240","４／４","1753","1808","69%","－","164","164","４／４","209","219","75%","628","４／４","1843","2523","25%","－","－","－","－","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"12","千葉県","13844","1088","1082","３／３","1375","1392","78%","8%","114","114","３／３","132","141","81%","408","３／３","1012","1012","40%","10560","0","1788","140","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
"13","東京都","41368","4154","4112","４／４","5967","6406","64%","10%","1142","1135","４／４","1207","1207","94%","2025","４／４","3246","3246","62%","25139","94","10050","372","2021-08-25","https://www.mhlw.go.jp/content/10900000/000824885.xlsx"
