"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"21","岐阜県","16706","430","347","0","４／４","897","897","0","39%","3%","2","2","0","４／４","59","59","0","3%","1198","0","３／３","1932","1932","4","62%","0","３／３","4","4","0%","11771","124","3307","22","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"22","静岡県","29508","539","428","0","３／３","642","648","0","66%","2%","1","1","0","３／３","39","60","0","2%","256","0","３／３","894","894","0","29%","0","３／３","0","75","0%","28709","148","4","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"23","愛知県","92641","1073","768","0","２／２","1723","1723","0","45%","1%","13","13","0","２／２","172","172","0","8%","953","0","２／２","2224","2224","0","43%","0","２／２","0","0","－","75298","138","15317","2","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"24","三重県","16446","271","218","0","Ⅱ／Ⅲ","487","556","10","39%","2%","0","0","0","Ⅱ／Ⅲ","50","56","0","0%","188","0","３／３","496","496","0","38%","0","Ⅱ／Ⅲ","0","10","0%","15951","71","36","2","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"25","滋賀県","13502","328","226","0","Ⅰ／Ⅰ","461","495","30","46%","2%","1","1","0","Ⅰ／Ⅰ","52","52","0","2%","207","0","Ⅰ／Ⅰ","630","630","0","33%","0","Ⅰ／Ⅰ","0","30","0%","12951","23","16","13","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"26","京都府","36011","571","379","0","２／２","961","981","110","39%","2%","55","55","0","２／２","175","175","0","31%","369","0","１／１","1126","1126","0","33%","0","２／２","110","110","0%","35071","228","0","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"27","大阪府","170373","2377","2377","0","Ⅰ／Ⅰ","3607","4794","0","50%","1%","562","562","0","３／５","1165","1527","0","37%","3582","44","Ⅰ／Ⅰ","8275","9861","188","36%","44","Ⅰ／Ⅰ","196","226","19%","115909","0","48505","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"28","兵庫県","60599","1012","1012","0","５／５","1629","1629","0","62%","2%","19","19","0","５／５","142","142","0","13%","770","0","５／５","2411","2411","0","32%","0","－","0","0","－","52315","0","6502","55","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"29","奈良県","17343","352","269","0","３／３","533","533","0","50%","2%","11","11","0","３／３","36","36","0","31%","378","0","３／３","969","969","0","39%","0","３／３","0","0","－","0","0","16613","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
"30","和歌山県","6186","355","355","0","３／３","529","529","0","67%","6%","3","0","0","３／３","26","26","0","0%","103","0","３／３","178","178","0","58%","0","３／３","178","181","0%","5728","0","0","0","2022-07-27","https://www.mhlw.go.jp/content/10900000/000971119.xlsx"
