"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","523","299","２／３","1863","16%","1863","4","２／３","161","2%","161","96","２／２","1835","5%","1835","97","31","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"02","青森県","26","26","１／４","204","13%","225","1","１／４","31","3%","30","0","１／４","290","0%","100","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"03","岩手県","2","2","２／３","385","1%","350","0","２／３","60","0%","45","0","２／３","381","0%","300","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"04","宮城県","105","29","４／５","345","8%","450","3","４／５","43","7%","65","44","４／５","500","9%","500","32","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"05","秋田県","1","1","２／４","229","0%","235","0","２／４","24","0%","27","0","２／４","70","0%","69","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"06","山形県","13","13","３／４","216","6%","215","0","３／４","26","0%","26","0","３／４","134","0%","134","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"07","福島県","155","149","４／４","469","32%","350","10","４／４","49","20%","50","6","４／４","204","3%","160","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"08","茨城県","331","149","３／３","619","24%","600","5","３／３","70","7%","70","44","４／４","324","14%","324","99","39","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"09","栃木県","129","59","３／４","377","16%","377","1","３／４","46","2%","46","27","３／４","638","4%","638","0","26","17","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"10","群馬県","188","94","３／３","379","25%","330","3","３／３","74","4%","50","63","３／３","1300","5%","1300","0","0","31","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"11","埼玉県","1223","616","４／４","1435","43%","1469","40","４／４","146","27%","200","235","３／３","1436","16%","1450","270","0","102","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"12","千葉県","1518","643","４／４","1264","51%","1200","28","４／４","92","30%","180","166","４／４","968","17%","1400","563","0","146","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"13","東京都","2980","1566","４／４","5000","31%","4000","303","４／４","1000","30%","500","385","４／４","3290","12%","3000","495","43","491","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"14","神奈川県","1040","447","３／４","1555","29%","1555","27","３／４","190","14%","190","104","２／２","1725","6%","1000","461","28","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"15","新潟県","80","56","２／３","555","10%","555","1","２／３","112","1%","112","22","２／３","222","10%","222","2","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"16","富山県","8","8","１／４","500","2%","500","1","１／４","36","3%","36","0","１／４","377","0%","100","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"17","石川県","97","72","２／２","258","28%","254","6","２／２","35","17%","35","25","２／２","340","7%","340","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"18","福井県","4","4","１／４","255","2%","255","0","１／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"19","山梨県","6","5","１／４","285","2%","250","0","１／４","24","0%","24","1","３／４","139","1%","100","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"20","長野県","12","10","２／４","434","2%","434","0","２／４","49","0%","49","0","２／４","375","0%","375","2","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
"21","岐阜県","143","136","３／３","694","20%","694","7","３／３","59","12%","59","7","３／３","603","1%","603","0","0","0","2021-03-03","https://www.mhlw.go.jp/content/10900000/000749619.xlsx"
