"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","515","193","193","３／３","1994","1994","10%","37%","10","10","３／３","143","143","7%","83","２／２","2370","2370","4%","220","0","19","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"02","青森県","275","137","76","４／４","337","337","23%","50%","6","6","４／４","31","31","19%","55","４／４","470","470","12%","69","21","14","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"03","岩手県","12","10","10","２／３","250","350","3%","83%","0","0","２／３","30","45","0%","2","２／３","247","511","0%","0","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"04","宮城県","202","62","62","５／５","498","498","12%","31%","3","3","５／５","54","54","6%","93","５／５","1250","1250","7%","40","0","7","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"05","秋田県","33","9","9","６／６","273","273","3%","27%","1","1","６／６","22","22","5%","21","６／６","304","304","7%","0","0","3","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"06","山形県","50","33","26","４／４","237","237","11%","66%","0","0","４／４","26","26","0%","4","４／４","134","134","3%","12","0","1","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"07","福島県","61","43","43","４／４","637","637","7%","70%","4","4","４／４","45","49","8%","11","４／４","503","503","2%","6","6","1","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"08","茨城県","353","125","125","４／４","600","791","16%","35%","13","13","４／４","70","70","19%","85","６／８","1020","1170","7%","143","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"09","栃木県","278","92","92","２／３","417","502","18%","33%","8","8","２／３","27","46","17%","98","２／３","665","725","14%","72","0","16","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"10","群馬県","215","101","95","３／４","450","506","19%","47%","12","12","３／４","27","76","16%","80","３／４","854","1747","5%","22","0","12","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"11","埼玉県","2350","533","533","４／４","1889","1889","28%","23%","59","59","４／４","236","236","25%","263","４／４","1925","2523","10%","1300","0","254","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"12","千葉県","1310","376","376","３／３","1476","1504","25%","29%","49","49","３／３","148","154","32%","149","３／３","1390","1390","11%","712","0","73","1","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"13","東京都","3532","1181","1163","４／４","6651","6651","17%","33%","388","385","４／４","1207","1207","32%","486","４／４","3310","3310","15%","1374","12","491","13","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"14","神奈川県","1702","607","607","４／４","2000","2000","30%","36%","82","82","４／４","210","210","39%","107","１／１","2428","2428","4%","981","2","7","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"15","新潟県","217","107","107","２／３","555","555","19%","49%","2","2","２／３","112","112","2%","21","２／３","300","300","7%","85","0","4","4","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"16","富山県","46","31","31","２／４","206","500","6%","67%","3","3","２／４","14","36","8%","11","２／４","500","500","2%","4","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"17","石川県","100","54","54","２／３","250","447","12%","54%","2","2","２／３","33","39","5%","19","２／３","560","560","3%","23","0","4","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"18","福井県","86","77","77","５／５","344","424","18%","90%","1","1","５／５","24","24","4%","9","５／５","216","216","4%","0","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"19","山梨県","118","68","68","４／４","367","367","19%","58%","0","0","４／４","24","24","0%","50","４／４","806","806","6%","0","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"20","長野県","102","56","56","２／３","353","529","11%","55%","1","1","２／３","34","43","2%","29","２／３","806","806","4%","17","1","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"21","岐阜県","352","127","127","２／３","563","859","15%","36%","6","6","２／３","56","59","10%","159","２／３","1296","1480","11%","0","0","66","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"22","静岡県","330","73","73","４／５","766","766","10%","22%","7","7","４／５","62","62","11%","71","４／５","870","870","8%","160","0","26","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"23","愛知県","2870","464","452","４／４","1722","1722","26%","16%","44","44","４／４","183","183","24%","225","４／４","1628","1691","13%","2039","31","142","3","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"24","三重県","274","94","94","３／３","507","521","18%","34%","4","4","３／３","55","61","7%","13","３／３","259","259","5%","167","0","0","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
"25","滋賀県","209","104","104","４／４","423","438","24%","50%","1","1","４／４","52","52","2%","60","４／４","677","677","9%","40","0","5","0","2021-09-29","https://www.mhlw.go.jp/content/10900000/000838782.xlsx"
