"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","136","86","１／３","1767","5%","1767","0","１／３","182","0%","182","50","１／２","1170","4%","1170","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"02","青森県","1","1","１／４","165","1%","225","0","１／４","31","0%","30","0","１／４","30","0%","100","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"03","岩手県","0","0","１／３","374","0%","350","0","１／３","59","0%","45","0","１／３","381","0%","300","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"04","宮城県","38","25","３／４","345","7%","450","1","３／４","43","2%","65","11","３／４","300","4%","300","2","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"05","秋田県","0","0","２／４","222","0%","235","0","２／４","22","0%","27","0","２／４","16","0%","69","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"06","山形県","2","2","２／４","216","1%","215","0","２／４","26","0%","26","0","２／４","188","0%","188","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"07","福島県","38","38","２／４","469","8%","350","3","２／４","42","7%","50","0","１／４","160","0%","160","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"08","茨城県","32","26","１／３","546","5%","500","4","１／３","72","6%","70","5","３／４","324","2%","324","1","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"09","栃木県","51","51","２／４","313","16%","313","1","２／４","41","2%","41","0","２／４","284","0%","250","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"10","群馬県","53","45","２／３","305","15%","330","2","２／３","23","9%","50","8","２／３","1300","1%","363","0","0","0","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"11","埼玉県","260","154","３／４","1201","13%","1400","7","３／４","128","5%","200","56","１／３","1225","5%","1450","25","0","25","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"12","千葉県","285","168","３／４","1147","15%","1200","6","３／４","101","6%","180","52","３／４","710","7%","1400","50","0","15","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
"13","東京都","2184","1182","３／４","4000","30%","4000","113","２／４","500","23%","500","249","３／４","1860","13%","3000","455","2","296","2020-09-30","https://www.mhlw.go.jp/content/10900000/000679096.pdf"
