都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
01,北海道,83,79,700,1558,8,100,132,4,930,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
02,青森県,0,0,144,225,0,29,34,0,30,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
04,宮城県,7,4,388,400,0,57,60,2,200,1,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
06,山形県,1,1,150,150,1,16,16,0,188,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
07,福島県,2,2,229,800,0,15,20,0,300,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
08,茨城県,11,11,151,1000,1,30,50,0,34,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
09,栃木県,1,1,271,271,0,41,41,0,111,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
10,群馬県,2,2,170,280,0,23,50,0,150,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
11,埼玉県,52,35,602,602,4,60,60,6,1055,2,0,9,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
12,千葉県,21,21,819,1700,2,82,300,0,736,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
13,東京都,334,238,3300,4000,20,400,700,45,2865,27,0,24,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
14,神奈川県,57,46,2050,2800,11,172,300,3,2431,8,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
15,新潟県,2,2,411,766,0,112,112,0,50,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
16,富山県,0,0,500,500,0,20,20,0,100,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
17,石川県,24,24,233,520,2,30,40,0,340,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
18,福井県,0,0,176,350,0,19,19,0,35,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
19,山梨県,1,1,80,400,0,13,50,0,21,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
20,長野県,2,2,300,300,0,33,33,0,200,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
21,岐阜県,5,5,354,458,1,47,118,0,466,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
22,静岡県,4,4,200,400,0,20,20,0,155,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
23,愛知県,9,5,500,1500,0,28,400,0,1300,4,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
24,三重県,1,1,176,176,0,33,33,0,64,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
25,滋賀県,2,2,264,570,1,50,50,0,62,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
26,京都府,5,5,431,431,0,86,86,0,338,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
27,大阪府,36,30,1247,1615,5,188,215,2,1565,4,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
28,兵庫県,7,7,515,515,0,71,71,0,578,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
29,奈良県,0,0,434,500,0,23,25,0,108,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
30,和歌山県,1,1,150,177,0,32,32,0,137,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
31,鳥取県,0,0,322,322,0,48,48,0,640,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
32,島根県,1,1,253,253,0,30,46,0,45,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
33,岡山県,0,0,140,300,0,11,57,0,78,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
34,広島県,0,0,266,270,0,35,35,0,130,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
35,山口県,0,0,423,423,0,102,102,0,638,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
38,愛媛県,4,4,223,223,0,15,43,0,67,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
39,高知県,0,0,166,200,0,16,50,0,16,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
40,福岡県,22,22,490,1800,2,60,300,0,826,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
41,佐賀県,0,0,146,232,0,32,47,0,230,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
42,長崎県,0,0,307,903,0,21,29,0,163,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
43,熊本県,1,1,378,400,0,48,48,0,1430,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
44,大分県,1,1,258,300,0,35,35,0,65,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
45,宮崎県,0,0,204,231,0,21,21,0,200,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
46,鹿児島県,1,1,253,253,0,48,48,0,188,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
47,沖縄県,0,0,225,430,0,33,37,0,0,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf
