"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","3326","903","903","３／３","2088","2088","43%","27%","32","32","３／３","151","151","21%","271","２／２","2395","2395","11%","1064","119","1088","33","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"02","青森県","55","46","46","２／４","247","261","18%","84%","1","1","２／４","31","31","3%","6","４／４","310","310","2%","2","0","1","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"03","岩手県","107","61","61","２／３","250","350","17%","57%","1","1","２／３","30","45","2%","41","２／３","85","381","11%","0","0","5","5","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"04","宮城県","98","51","50","５／５","359","361","14%","52%","7","7","５／５","45","45","16%","24","５／５","1000","1000","2%","15","0","8","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"05","秋田県","14","14","13","４／６","119","230","6%","100%","1","1","４／６","12","22","5%","0","４／６","304","304","0%","0","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"06","山形県","48","42","42","４／４","237","237","18%","88%","3","3","４／４","26","26","12%","0","４／４","134","134","0%","3","0","3","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"07","福島県","112","96","91","４／４","496","496","18%","86%","4","4","４／４","45","49","8%","11","４／４","277","277","4%","3","0","2","1","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"08","茨城県","280","118","118","３／４","410","600","20%","42%","11","11","３／４","50","70","16%","104","４／６","300","630","17%","58","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"09","栃木県","234","123","123","２／３","371","448","27%","53%","12","12","２／３","27","46","26%","69","１／３","557","638","11%","21","0","21","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"10","群馬県","116","76","76","３／４","408","459","17%","66%","9","9","３／４","27","76","12%","33","３／４","971","1300","3%","0","0","7","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"11","埼玉県","1001","393","393","４／４","1647","1647","24%","39%","30","30","４／４","164","164","18%","242","３／４","1237","1986","12%","174","0","192","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"12","千葉県","896","327","327","２／３","1273","1273","26%","36%","21","21","２／３","101","101","21%","211","２／３","1012","1012","21%","227","0","131","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"13","東京都","3402","1346","1312","４／４","5594","6044","22%","40%","353","353","４／４","1207","1207","29%","778","４／４","2830","3050","26%","680","0","598","51","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"14","神奈川県","1707","497","497","３／４","1493","1790","28%","29%","43","43","３／４","158","199","22%","274","１／１","1657","1657","17%","916","3","20","2","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"15","新潟県","129","93","93","２／３","555","555","17%","72%","5","5","２／３","112","112","4%","13","２／３","300","300","4%","18","0","5","5","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"16","富山県","54","45","45","２／４","204","500","9%","83%","2","2","２／４","14","36","6%","7","２／４","250","250","3%","2","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"17","石川県","88","68","68","３／３","435","435","16%","77%","2","2","３／３","39","39","5%","9","３／３","560","560","2%","9","0","2","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"18","福井県","23","23","23","１／５","95","304","8%","100%","0","0","１／５","7","24","0%","0","１／５","70","146","0%","0","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"19","山梨県","222","104","104","３／４","210","305","34%","47%","2","2","３／４","24","24","8%","83","３／４","449","449","18%","35","35","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"20","長野県","99","73","73","２／３","342","490","15%","74%","2","2","２／３","34","42","5%","15","２／３","523","523","3%","11","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"21","岐阜県","290","213","213","３／３","638","783","27%","73%","12","12","３／３","59","59","20%","59","３／３","546","957","6%","0","0","18","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"22","静岡県","347","121","121","４／５","574","589","21%","35%","4","4","４／５","57","58","7%","72","４／５","476","736","10%","113","13","41","4","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"23","愛知県","2288","704","689","４／４","1515","1515","45%","31%","74","74","４／４","146","146","51%","180","４／４","1109","1300","14%","1304","20","100","2","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"24","三重県","155","82","82","３／３","435","435","19%","53%","9","9","３／３","57","57","16%","17","３／３","240","240","7%","56","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"25","滋賀県","216","158","158","４／４","374","374","42%","73%","7","7","４／４","52","52","13%","45","４／４","400","400","11%","13","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"26","京都府","378","165","165","３／３","498","498","33%","44%","19","19","３／３","86","86","22%","75","３／３","826","826","9%","138","0","0","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"27","大阪府","4066","808","808","４／４","2675","2698","30%","20%","240","240","４／４","818","835","29%","262","３／４","3752","3986","7%","2280","0","716","0","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
"28","兵庫県","543","302","302","６／６","1151","1151","26%","56%","37","37","６／６","136","136","27%","108","６／６","1475","1475","7%","87","0","46","17","2021-06-16","https://www.mhlw.go.jp/content/10900000/000795020.xlsx"
