"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1048","475","２／３","1827","26%","1827","11","２／３","161","7%","161","254","２／２","1835","14%","1835","229","90","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"02","青森県","43","30","１／４","209","14%","225","1","１／４","31","3%","30","9","１／４","190","5%","100","1","0","3","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"03","岩手県","21","19","２／３","385","5%","350","1","２／３","60","2%","45","2","２／３","381","1%","300","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"04","宮城県","107","60","４／５","345","17%","450","7","４／５","43","16%","65","32","４／５","500","6%","500","15","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"05","秋田県","34","34","３／４","229","15%","235","0","３／４","24","0%","27","0","３／４","70","0%","69","0","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"06","山形県","41","39","３／４","216","18%","215","0","３／４","26","0%","26","0","３／４","134","0%","134","2","0","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"07","福島県","134","130","４／４","469","28%","350","8","４／４","42","19%","50","1","４／４","220","0%","160","1","0","2","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"08","茨城県","461","218","３／３","600","36%","600","16","３／３","70","23%","70","94","４／４","324","29%","324","135","14","0","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"09","栃木県","240","128","３／４","377","34%","377","12","３／４","46","26%","46","33","３／４","638","5%","638","0","60","19","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
"10","群馬県","341","157","３／３","341","46%","330","10","３／３","71","14%","50","145","３／３","1300","11%","1300","0","0","39","2021-02-10","https://www.mhlw.go.jp/content/10900000/000738342.xlsx"
