"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1607","835","２／３","1811","46%","1811","23","２／３","182","13%","182","240","２／２","1835","13%","1835","365","167","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"02","青森県","92","39","１／４","210","19%","225","2","１／４","31","6%","30","40","１／４","290","14%","100","1","0","12","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"03","岩手県","50","48","２／３","374","13%","350","4","２／３","59","7%","45","2","２／３","381","1%","300","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"04","宮城県","287","82","４／５","345","24%","450","5","４／５","43","12%","65","103","４／５","300","34%","300","102","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"05","秋田県","37","17","２／４","222","8%","235","0","２／４","24","0%","27","20","２／４","58","34%","69","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"06","山形県","58","55","３／４","216","25%","215","5","３／４","26","19%","26","0","３／４","108","0%","108","3","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"07","福島県","235","220","３／４","469","47%","350","8","３／４","42","19%","50","15","３／４","160","9%","160","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"08","茨城県","367","162","３／３","545","30%","500","8","３／３","70","11%","70","112","４／４","324","35%","324","93","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"09","栃木県","669","155","４／４","317","49%","317","9","４／４","46","20%","46","42","４／４","284","15%","250","0","43","429","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"10","群馬県","352","180","３／３","335","54%","330","10","３／３","71","14%","50","129","３／３","1300","10%","1300","0","0","43","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"11","埼玉県","3467","826","４／４","1267","65%","1400","70","２／４","131","53%","200","264","２／３","1359","19%","1450","2008","0","369","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"12","千葉県","2848","531","４／４","1144","46%","1200","22","４／４","94","23%","180","215","４／４","815","26%","1400","1967","0","135","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"13","東京都","12431","3123","４／４","4000","78%","4000","437","４／４","500","87%","500","924","４／４","2360","39%","3000","5091","24","3269","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"14","神奈川県","3447","673","２／３","1939","35%","1939","79","２／３","200","40%","200","428","２／２","1247","34%","1000","2346","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"15","新潟県","106","71","２／３","456","16%","456","0","２／３","112","0%","112","28","１／３","176","16%","176","7","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"16","富山県","61","55","２／４","500","11%","500","2","２／４","36","6%","36","5","２／４","377","1%","100","1","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"17","石川県","138","128","２／２","258","50%","254","6","２／２","35","17%","35","10","２／２","340","3%","340","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"18","福井県","18","18","２／４","215","8%","215","0","２／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"19","山梨県","102","81","２／４","285","28%","250","2","２／４","24","8%","24","21","２／４","139","15%","100","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"20","長野県","202","137","３／４","350","39%","350","3","３／４","48","6%","48","57","３／４","250","23%","250","6","0","2","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"21","岐阜県","657","325","３／３","625","52%","625","12","３／３","51","24%","51","134","３／３","466","29%","466","0","0","198","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"22","静岡県","535","155","４／４","442","35%","450","6","４／４","38","16%","67","67","４／４","592","11%","450","0","0","313","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"23","愛知県","2510","649","４／４","1102","59%","839","38","４／４","103","37%","121","232","４／４","1300","18%","1300","1356","0","273","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"24","三重県","180","171","２／３","357","48%","357","5","２／３","53","9%","53","2","２／３","100","2%","100","7","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"25","滋賀県","293","192","３／３","274","70%","280","12","３／３","44","27%","62","76","３／３","260","29%","420","21","0","4","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"26","京都府","1136","249","３／３","720","35%","750","26","３／３","86","30%","86","79","３／３","338","23%","338","808","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"27","大阪府","4167","1040","４／４","1572","66%","1615","257","４／４","397","65%","215","673","３／３","2019","33%","1036","1510","0","944","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"28","兵庫県","1041","530","６／６","756","70%","750","54","６／６","116","47%","120","282","６／６","988","29%","1000","0","0","229","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"29","奈良県","351","234","３／３","370","63%","500","10","３／３","28","36%","25","117","３／３","250","47%","250","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
"30","和歌山県","98","98","２／４","400","25%","400","2","２／４","40","5%","40","0","２／４","137","0%","137","0","0","0","2020-01-06","https://www.mhlw.go.jp/content/10900000/000717132.pdf"
