"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","50408","1752","901","0","３／３","2258","2258","0","40%","3%","6","6","0","３／３","138","138","0","4%","447","0","２／３","2085","2215","0","20%","0","２／３","56","56","0%","45312","818","2897","0","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
"02","青森県","16900","469","318","0","３／５","460","472","0","67%","3%","3","3","0","１／５","31","31","0","10%","116","0","３／５","660","660","0","18%","0","－","0","0","－","10591","174","5724","0","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
"03","岩手県","9595","240","171","0","２／２","339","339","0","50%","3%","0","0","0","２／２","31","34","0","0%","60","0","２／２","280","280","0","21%","0","－","0","0","－","9295","116","0","0","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
"04","宮城県","26718","616","316","0","Ⅰ／Ⅰ","577","577","0","55%","2%","12","12","0","Ⅰ／Ⅰ","55","55","0","22%","1421","0","Ⅰ／Ⅰ","2060","2060","0","69%","0","－","0","0","－","19012","0","5669","0","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
"05","秋田県","20697","245","174","0","６／６","317","317","0","55%","1%","2","2","0","６／６","24","24","0","8%","96","0","６／６","415","415","0","23%","0","－","0","0","－","13186","684","7170","0","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
"06","山形県","16198","409","126","0","Ⅰ／Ⅱ","280","280","0","45%","3%","0","0","0","Ⅰ／Ⅱ","26","26","0","0%","60","0","Ⅰ／Ⅱ","348","348","0","17%","0","Ⅰ／Ⅱ","0","0","－","15547","0","182","0","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
"07","福島県","22332","478","377","0","３／３","757","769","8","49%","2%","3","2","0","３／３","45","45","0","4%","486","0","３／３","1547","1547","0","31%","0","３／３","16","24","0%","21368","138","0","0","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
"08","茨城県","22434","504","504","0","Ⅰ／Ⅰ","800","800","0","63%","2%","6","6","0","１／４","30","72","0","8%","940","0","４／５","1614","2689","0","35%","0","－","0","0","－","20990","0","0","0","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
"09","栃木県","18946","317","317","10","３／３","566","649","83","49%","2%","11","11","0","３／３","46","46","0","24%","402","0","２／３","755","1050","0","38%","10","３／３","83","83","12%","18227","355","0","0","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
"10","群馬県","21604","398","361","0","４／４","669","669","0","54%","2%","10","10","0","２／４","21","37","0","27%","792","0","６／６","1727","1727","0","46%","0","４／４","6","6","0%","13073","499","7341","19","2022-08-31","https://www.mhlw.go.jp/content/10900000/000985104.xlsx"
