"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","31227","875","649","0","２／３","1547","2065","0","31%","3%","5","5","0","２／３","102","134","0","4%","303","0","２／３","2140","2600","0","12%","0","２／３","56","56","0%","23452","152","6597","0","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
"02","青森県","3809","148","148","0","３／５","399","414","0","36%","4%","3","3","0","１／５","31","31","0","10%","112","0","３／５","920","920","0","12%","0","－","0","0","－","1468","0","2081","0","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
"03","岩手県","1444","183","183","0","Ⅰ／Ⅰ","400","400","0","46%","13%","0","0","0","Ⅰ／Ⅰ","33","33","0","0%","91","0","Ⅰ／Ⅰ","370","370","0","25%","0","－","0","0","－","1080","12","90","0","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
"04","宮城県","5423","174","174","0","Ⅰ／Ⅰ","511","511","0","34%","3%","4","4","0","Ⅰ／Ⅰ","55","55","0","7%","945","0","Ⅰ／Ⅰ","1710","1710","0","55%","0","－","0","0","－","3575","0","729","0","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
"05","秋田県","1920","89","89","0","６／６","289","289","0","31%","5%","0","0","0","６／６","24","24","0","0%","74","0","６／６","415","415","0","18%","0","－","0","0","－","1136","8","621","0","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
"06","山形県","2707","99","95","0","４／４","212","237","0","40%","4%","0","0","0","４／４","26","26","0","0%","76","0","４／４","322","322","0","24%","0","４／４","0","0","－","2238","0","294","0","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
"07","福島県","4329","327","322","0","３／３","751","751","8","43%","8%","4","4","0","３／３","47","47","0","9%","404","0","３／３","1108","1108","0","36%","0","３／３","16","24","0%","3044","15","554","1","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
"08","茨城県","8253","285","285","0","Ⅰ／Ⅰ","700","877","77","32%","3%","6","6","0","Ⅰ／Ⅰ","40","80","0","8%","638","0","５／５","1950","2600","0","25%","0","Ⅰ／Ⅰ","77","77","0%","7330","0","0","0","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
"09","栃木県","7595","245","245","7","２／３","638","638","100","38%","3%","4","4","0","２／３","32","46","0","9%","300","0","２／３","665","1065","0","28%","7","２／３","100","100","7%","7050","76","0","0","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
"10","群馬県","8412","338","338","0","４／４","568","568","0","60%","4%","6","6","0","２／４","22","37","0","16%","577","0","６／６","1727","1727","0","33%","0","４／４","6","6","0%","6050","0","1447","121","2022-02-09","https://www.mhlw.go.jp/content/10900000/000897520.xlsx"
