"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","183","49","49","２／３","1584","2001","2%","27%","0","0","２／３","103","137","0%","13","２／２","2370","2370","1%","106","0","15","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"02","青森県","127","55","16","２／４","327","337","5%","43%","2","2","２／４","31","31","6%","13","４／４","470","470","3%","30","0","29","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"03","岩手県","4","3","3","２／３","250","350","1%","75%","0","0","２／３","30","45","0%","1","２／３","247","511","0%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"04","宮城県","34","19","19","５／５","498","498","4%","56%","1","1","５／５","54","54","2%","9","５／５","1250","1710","1%","5","0","1","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"05","秋田県","15","5","5","５／６","227","273","2%","33%","0","0","５／６","22","22","0%","10","５／６","304","304","3%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"06","山形県","13","5","5","３／４","237","237","2%","38%","0","0","３／４","26","26","0%","0","３／４","134","134","0%","2","0","6","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"07","福島県","20","20","20","４／４","637","637","3%","100%","2","2","４／４","45","49","4%","0","４／４","503","503","0%","0","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"08","茨城県","116","40","40","３／４","410","600","7%","34%","8","8","３／４","50","70","11%","35","６／９","1020","1345","3%","41","0","0","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"09","栃木県","100","39","39","１／３","374","502","8%","39%","3","3","１／３","27","46","7%","29","１／３","665","725","4%","26","0","6","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
"10","群馬県","73","22","22","１／４","184","509","4%","30%","3","3","１／４","15","76","4%","32","２／６","369","1747","2%","5","0","14","0","2021-10-13","https://www.mhlw.go.jp/content/10900000/000844091.xlsx"
