japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2021-01-01,13573.9462890625,13548.626953125,13597.3642578125,460.327545166,459.9874267578,461.4742736816,1664.1473388672,1656.5002441406,1668.1530761719,11433.06640625,11415.7685546875,11450.138671875,,,,,2020-12-31,7.3275451659999931,131.9462890625,,,北海道
JP-01,HOKKAIDO,2021-01-02,13695.6591796875,13647.251953125,13739.7783203125,467.5702514648,466.9131164551,469.7652893066,1654.7215576172,1640.2799072266,1662.0747070312,11555.87890625,11522.640625,11588.0341796875,,,,,2020-12-31,7.2427062987999875,121.712890625,,,北海道
JP-01,HOKKAIDO,2021-01-03,13833.2080078125,13763.556640625,13897.35546875,474.8069458008,473.8538208008,477.9954223633,1659.5799560547,1638.9265136719,1670.0229492188,11677.83203125,11629.9091796875,11724.2060546875,,,,,2020-12-31,7.2366943360000278,137.548828125,,,北海道
JP-01,HOKKAIDO,2021-01-04,13952.392578125,13863.4501953125,14033.2119140625,482.1402587891,480.9096679688,486.2486572266,1652.2459716797,1626.1585693359,1665.2581787109,11799.96484375,11738.47265625,11859.1494140625,,,,,2020-12-31,7.3333129883000083,119.1845703125,,,北海道
JP-01,HOKKAIDO,2021-01-05,14081.970703125,13975.2470703125,14179.2412109375,489.453918457,487.9639587402,494.4408874512,1653.0881347656,1622.0167236328,1668.4989013672,11921.275390625,11847.2705078125,11992.7412109375,,,,,2020-12-31,7.3136596678999695,129.578125,,,北海道
JP-01,HOKKAIDO,2021-01-06,14230.2138671875,14106.8232421875,14343.0244140625,496.8221435547,495.0908813477,502.6208190918,1671.7995605469,1635.8531494141,1689.5604248047,12042.1103515625,11956.5908203125,12124.7216796875,,,,,2020-12-31,7.3682250977000194,148.2431640625,,,北海道
JP-01,HOKKAIDO,2021-01-07,14379.298828125,14240.380859375,14506.3896484375,504.3371582031,502.3775939941,510.9197692871,1693.6656494141,1653.1137695312,1713.7769775391,12162.552734375,12066.3515625,12255.83984375,,,,,2020-12-31,7.5150146483999833,149.0849609375,,,北海道
JP-01,HOKKAIDO,2021-01-08,14524.1787109375,14371.0390625,14663.283203125,512.0917358398,509.918182373,519.4046020508,1709.0134277344,1664.3387451172,1731.2202148438,12287.2294921875,12181.126953125,12390.2578125,,,,,2020-12-31,7.7545776366999917,144.8798828125,,,北海道
JP-01,HOKKAIDO,2021-01-09,14657.3837890625,14491.478515625,14808.841796875,519.8444824219,517.4706420898,527.8420410156,1709.19140625,1661.1375732422,1733.0853271484,12411.5263671875,12296.26171875,12523.607421875,,,,,2020-12-31,7.7527465821000305,133.205078125,,,北海道
JP-01,HOKKAIDO,2021-01-10,14804.4619140625,14626.4052734375,14968.037109375,527.6497802734,525.0878295898,536.2787475586,1721.4914550781,1670.0311279297,1747.0441894531,12535.8056640625,12412.03515625,12655.962890625,,,,,2020-12-31,7.8052978514999722,147.078125,,,北海道
