japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji,__index_level_0__
JP-01,HOKKAIDO,2021-10-04 00:00:00 UTC,60314.94140625,60304,60510.45703125,1468.3177490234375,1468.2220458984375,1479.7469482421875,338.41433715820312,338.2799072265625,356.35562133789062,58498.50390625,58485.828125,58658.3359375,,,,,2021-10-03 00:00:00 UTC,1.3177490234375,10.94140625,,,北海道,28
JP-01,HOKKAIDO,2021-10-05 00:00:00 UTC,60325.5078125,60304,60701.25390625,1469.10791015625,1468.926025390625,1490.8363037109375,310.11489868164062,309.88088989257812,341.35250854492188,58530.828125,58506.7421875,58834.5703125,,,,,2021-10-03 00:00:00 UTC,0.7901611328125,10.56640625,,,北海道,29
JP-01,HOKKAIDO,2021-10-06 00:00:00 UTC,60337.30078125,60304,60871.71484375,1469.983642578125,1469.72412109375,1500.968017578125,287.63381958007812,287.32427978515625,328.9569091796875,58562.4609375,58528.0859375,58994.37109375,,,,,2021-10-03 00:00:00 UTC,0.875732421875,11.79296875,,,北海道,30
JP-01,HOKKAIDO,2021-10-07 00:00:00 UTC,60347.2890625,60304,61027,1470.7186279296875,1470.389404296875,1510.00439453125,263.847900390625,263.4876708984375,311.94760131835938,58591.625,58547.98046875,59137.15625,,,,,2021-10-03 00:00:00 UTC,0.7349853515625,9.98828125,,,北海道,31
JP-01,HOKKAIDO,2021-10-08 00:00:00 UTC,60353.6875,60304,61159.7734375,1471.3623046875,1470.970703125,1518.07568359375,243.65806579589844,243.26205444335938,296.54727172851562,58615.52734375,58563.53515625,59261.08984375,,,,,2021-10-03 00:00:00 UTC,0.6436767578125,6.3984375,,,北海道,32
JP-01,HOKKAIDO,2021-10-09 00:00:00 UTC,60358.72265625,60304,61276.671875,1471.9383544921875,1471.490966796875,1525.3052978515625,224.54695129394531,224.12950134277344,280.3115234375,58637.34375,58577.83203125,59371.38671875,,,,,2021-10-03 00:00:00 UTC,0.5760498046875,5.03515625,,,北海道,33
JP-01,HOKKAIDO,2021-10-10 00:00:00 UTC,60362.4921875,60304,61373.03125,1472.5859375,1472.0880126953125,1531.94580078125,204.97897338867188,204.55474853515625,261.65426635742188,58660.69921875,58594.41015625,59474.29296875,,,,,2021-10-03 00:00:00 UTC,0.6475830078125,3.76953125,,,北海道,34
JP-01,HOKKAIDO,2021-10-11 00:00:00 UTC,60365.18359375,60304,61450.375,1473.3057861328125,1472.7625732421875,1538.0750732421875,187.90306091308594,187.47859191894531,244.61782836914062,58682.6015625,58610.20703125,59568.3203125,,,,,2021-10-03 00:00:00 UTC,0.7198486328125,2.69140625,,,北海道,35
JP-01,HOKKAIDO,2021-10-12 00:00:00 UTC,60367.8984375,60304,61512.80859375,1473.7427978515625,1473.158935546875,1543.360595703125,174.63687133789062,174.212646484375,231.32933044433594,58702.16796875,58624.28125,59652.4921875,,,,,2021-10-03 00:00:00 UTC,0.43701171875,2.71484375,,,北海道,36
JP-01,HOKKAIDO,2021-10-13 00:00:00 UTC,60371.08984375,60304,61561.375,1474.2342529296875,1473.6136474609375,1548.208251953125,163.60348510742188,163.1810302734375,220.07098388671875,58720.8515625,58638.015625,59728.68359375,,,,,2021-10-03 00:00:00 UTC,0.491455078125,3.19140625,,,北海道,37
JP-01,HOKKAIDO,2021-10-14 00:00:00 UTC,60373.96484375,60304,61616.97265625,1474.6517333984375,1473.9981689453125,1552.54443359375,150.0367431640625,149.62863159179688,204.59220886230469,58737.7109375,58650.41796875,59797.05859375,,,,,2021-10-03 00:00:00 UTC,0.41748046875,2.875,,,北海道,38
JP-01,HOKKAIDO,2021-10-15 00:00:00 UTC,60375.93359375,60304,61667.81640625,1475.0177001953125,1474.3343505859375,1556.4393310546875,138.37440490722656,137.98085021972656,190.98899841308594,58751.26953125,58659.9609375,59856.859375,,,,,2021-10-03 00:00:00 UTC,0.365966796875,1.96875,,,北海道,39
JP-01,HOKKAIDO,2021-10-16 00:00:00 UTC,60377.57421875,60304,61715.9453125,1475.3448486328125,1474.634521484375,1559.977294921875,127.41337585449219,127.03671264648438,177.76681518554688,58763.46875,58668.5546875,59912.10546875,,,,,2021-10-03 00:00:00 UTC,0.3271484375,1.640625,,,北海道,40
JP-01,HOKKAIDO,2021-10-17 00:00:00 UTC,60378.875,60304,61757.609375,1475.712646484375,1474.9775390625,1563.3106689453125,116.06398773193359,115.70915222167969,163.49678039550781,58776.4375,58678.265625,59966.890625,,,,,2021-10-03 00:00:00 UTC,0.3677978515625,1.30078125,,,北海道,41
JP-01,HOKKAIDO,2021-10-18 00:00:00 UTC,60379.86328125,60304,61791.97265625,1476.12109375,1475.36328125,1566.428955078125,105.97554016113281,105.64190673828125,150.57183837890625,58788.53125,58687.42578125,60018.21875,,,,,2021-10-03 00:00:00 UTC,0.408447265625,0.98828125,,,北海道,42
JP-01,HOKKAIDO,2021-10-19 00:00:00 UTC,60380.90234375,60304,61820.55859375,1476.3681640625,1475.58984375,1569.122314453125,97.8598861694336,97.543792724609375,140.11033630371094,58799.2734375,58695.5390625,60064.83984375,,,,,2021-10-03 00:00:00 UTC,0.2470703125,1.0390625,,,北海道,43
JP-01,HOKKAIDO,2021-10-20 00:00:00 UTC,60382.19921875,60304,61844.73828125,1476.64453125,1475.8475341796875,1571.64013671875,90.789154052734375,90.489181518554688,130.88031005859375,58809.51171875,58703.39453125,60108.57421875,,,,,2021-10-03 00:00:00 UTC,0.2763671875,1.296875,,,北海道,44
JP-01,HOKKAIDO,2021-10-21 00:00:00 UTC,60383.4296875,60304,61873.62109375,1476.876708984375,1476.0628662109375,1573.88525390625,82.936927795410156,82.6573715209961,120.29515075683594,58818.69921875,58710.4453125,60147.40234375,,,,,2021-10-03 00:00:00 UTC,0.232177734375,1.23046875,,,北海道,45
JP-01,HOKKAIDO,2021-10-22 00:00:00 UTC,60384.32421875,60304,61900.3359375,1477.079833984375,1476.2508544921875,1575.89404296875,76.362503051757812,76.100517272949219,111.36793518066406,58826.03125,58715.8515625,60181.00390625,,,,,2021-10-03 00:00:00 UTC,0.203125,0.89453125,,,北海道,46
JP-01,HOKKAIDO,2021-10-23 00:00:00 UTC,60385.12890625,60304,61923.78125,1477.2613525390625,1476.419189453125,1577.6646728515625,70.274566650390625,70.0296630859375,102.99285125732422,58832.62109375,58720.6953125,60209.80859375,,,,,2021-10-03 00:00:00 UTC,0.1815185546875,0.8046875,,,北海道,47
JP-01,HOKKAIDO,2021-10-24 00:00:00 UTC,60385.796875,60304,61941.06640625,1477.4649658203125,1476.611328125,1579.2574462890625,63.9265022277832,63.700634002685547,94.101112365722656,58839.640625,58726.1484375,60235.375,,,,,2021-10-03 00:00:00 UTC,0.20361328125,0.66796875,,,北海道,48
JP-01,HOKKAIDO,2021-10-25 00:00:00 UTC,60386.33203125,60304,61950.96484375,1477.6907958984375,1476.8275146484375,1580.651611328125,58.2407112121582,58.032428741455078,86.068305969238281,58846.18359375,58731.2890625,60255.33984375,,,,,2021-10-03 00:00:00 UTC,0.225830078125,0.53515625,,,北海道,49
JP-01,HOKKAIDO,2021-10-26 00:00:00 UTC,60386.9296875,60304,61961.37109375,1477.82763671875,1476.955078125,1581.888427734375,53.620590209960938,53.426750183105469,79.520263671875,58852.00390625,58735.84375,60275.890625,,,,,2021-10-03 00:00:00 UTC,0.1368408203125,0.59765625,,,北海道,50
JP-01,HOKKAIDO,2021-10-27 00:00:00 UTC,60387.69140625,60304,61967.22265625,1477.98046875,1477.099853515625,1582.9849853515625,49.575878143310547,49.394943237304688,73.754081726074219,58857.5546875,58740.25390625,60292.4453125,,,,,2021-10-03 00:00:00 UTC,0.15283203125,0.76171875,,,北海道,51
JP-01,HOKKAIDO,2021-10-28 00:00:00 UTC,60388.44140625,60304,61976.4296875,1478.1087646484375,1477.2208251953125,1583.957763671875,45.253135681152344,45.086563110351562,67.513862609863281,58862.5390625,58744.20703125,60307.09765625,,,,,2021-10-03 00:00:00 UTC,0.1282958984375,0.75,,,北海道,52
