japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji,__index_level_0__
JP-01,HOKKAIDO,2021-08-02 00:00:00 UTC,44816.296875,44771.75390625,45638.0234375,1426.3878173828125,1425.7071533203125,1441.1837158203125,1785.92578125,1781.0103759765625,2244.450439453125,41482.7265625,41444.98046875,41780.78125,,,,,2021-08-01 00:00:00 UTC,1.3878173828125,236.296875,,,北海道,28
JP-01,HOKKAIDO,2021-08-03 00:00:00 UTC,45075,44989.4609375,46699.53125,1428.3089599609375,1427.013671875,1456.46533203125,1908.749755859375,1898.76611328125,2840.404541015625,41616.24609375,41544.29296875,42184.3984375,,,,,2021-08-01 00:00:00 UTC,1.921142578125,258.703125,,,北海道,29
JP-01,HOKKAIDO,2021-08-04 00:00:00 UTC,45394.640625,45270.7421875,47840.87890625,1430.091064453125,1428.2410888671875,1470.3001708984375,2070.424072265625,2054.976318359375,3512.1865234375,41760.8125,41657.82421875,42573.7421875,,,,,2021-08-01 00:00:00 UTC,1.7821044921875,319.640625,,,北海道,30
JP-01,HOKKAIDO,2021-08-05 00:00:00 UTC,45729.6015625,45570.01953125,49003,1431.58984375,1429.239501953125,1482.6685791015625,2248.460693359375,2227.17041015625,4235.6083984375,41911.23046875,41780.0625,42946.4375,,,,,2021-08-01 00:00:00 UTC,1.498779296875,334.9609375,,,北海道,31
JP-01,HOKKAIDO,2021-08-06 00:00:00 UTC,46033.69921875,45841.59765625,50089.06640625,1432.9915771484375,1430.1900634765625,1493.8770751953125,2402.34375,2375.2529296875,4931.7236328125,42066.8046875,41910.02734375,43304.21875,,,,,2021-08-01 00:00:00 UTC,1.4017333984375,304.09765625,,,北海道,32
JP-01,HOKKAIDO,2021-08-07 00:00:00 UTC,46329.71484375,46107.41015625,51141.44921875,1434.4271240234375,1431.21826171875,1504.1651611328125,2534.887451171875,2502.173828125,5591.044921875,42227.57421875,42047.5,43649.125,,,,,2021-08-01 00:00:00 UTC,1.435546875,296.015625,,,北海道,33
JP-01,HOKKAIDO,2021-08-08 00:00:00 UTC,46628.6484375,46378.0859375,52177.43359375,1436.012451171875,1432.4356689453125,1513.80615234375,2648.530029296875,2610.466064453125,6207.1044921875,42400.4140625,42199.11328125,43993.55859375,,,,,2021-08-01 00:00:00 UTC,1.5853271484375,298.93359375,,,北海道,34
JP-01,HOKKAIDO,2021-08-09 00:00:00 UTC,46913.26953125,46637.375,53120.80078125,1438.2022705078125,1434.2916259765625,1523.366455078125,2739.552978515625,2696.5634765625,6762.0810546875,42593.18359375,42372.45703125,44346.73046875,,,,,2021-08-01 00:00:00 UTC,2.1898193359375,284.62109375,,,北海道,35
JP-01,HOKKAIDO,2021-08-10 00:00:00 UTC,47227.0546875,46927.21484375,54099.41796875,1441.1300048828125,1436.9151611328125,1533.07763671875,2842.229736328125,2794.2509765625,7335.53125,42797.6015625,42559.1015625,44701.5859375,,,,,2021-08-01 00:00:00 UTC,2.927734375,313.78515625,,,北海道,36
JP-01,HOKKAIDO,2021-08-11 00:00:00 UTC,47616.94921875,47293.0546875,55255.3125,1443.76708984375,1439.2774658203125,1541.89453125,2998.774169921875,2944.947265625,8043.1953125,43012.47265625,42757.67578125,45056.63671875,,,,,2021-08-01 00:00:00 UTC,2.6370849609375,389.89453125,,,北海道,37
