japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2020-12-30,13267.9267578125,13257.888671875,13305.7919921875,451.8935852051,451.7016906738,454.7893066406,1563.7351074219,1561.51171875,1569.3662109375,11243.109375,11235.4931640625,11272.1025390625,,,,,2020-12-29,6.89358520510001,125.9267578125,,,北海道
JP-01,HOKKAIDO,2020-12-31,13362.4677734375,13343.3447265625,13434.630859375,458.5919494629,458.2220458984,464.1667175293,1518.4241943359,1514.3265380859,1528.7537841797,11375.525390625,11360.884765625,11431.0732421875,,,,,2020-12-29,6.6983642577999944,94.541015625,,,北海道
JP-01,HOKKAIDO,2021-01-01,13459.7099609375,13432.3232421875,13563.3388671875,465.0614013672,464.525604248,473.1266479492,1481.8696289062,1476.1663818359,1496.2426757812,11502.5048828125,11481.37890625,11582.64453125,,,,,2020-12-29,6.4694519043000014,97.2421875,,,北海道
JP-01,HOKKAIDO,2021-01-02,13561.4375,13526.5048828125,13693.6728515625,471.2911071777,470.6012878418,481.6504516602,1452.1938476562,1445.1011962891,1470.0018310547,11625.7783203125,11598.6611328125,11728.2646484375,,,,,2020-12-29,6.2297058104999792,101.7275390625,,,北海道
JP-01,HOKKAIDO,2021-01-03,13658.052734375,13616.27734375,13815.8701171875,477.2489624023,476.4172668457,489.7102355957,1420.8526611328,1412.5919189453,1441.4678955078,11746.501953125,11713.8642578125,11869.15625,,,,,2020-12-29,5.9578552245999958,96.615234375,,,北海道
JP-01,HOKKAIDO,2021-01-04,13750.5390625,13702.5146484375,13932.19921875,483.1659240723,482.2008972168,497.602935791,1390.3845214844,1381.1297607422,1413.4776611328,11864.1826171875,11826.4267578125,12006.037109375,,,,,2020-12-29,5.9169616700000347,92.486328125,,,北海道
JP-01,HOKKAIDO,2021-01-05,13843.0029296875,13789.28125,14047.01171875,489.0765380859,487.9873657227,505.3678894043,1362.4971923828,1352.3919677734,1387.7845458984,11979.3974609375,11936.921875,12139.4462890625,,,,,2020-12-29,5.9106140135999681,92.4638671875,,,北海道
JP-01,HOKKAIDO,2021-01-06,13939.396484375,13880.4736328125,14163.2431640625,495.1292114258,493.9255981445,513.1444702148,1341.8430175781,1330.9761962891,1369.0905761719,12094.107421875,12047.2919921875,12270.8955078125,,,,,2020-12-29,6.052673339900025,96.3935546875,,,北海道
JP-01,HOKKAIDO,2021-01-07,14038.8740234375,13975.140625,14282.216796875,501.0460205078,499.7342529297,520.6853027344,1322.3670654297,1310.8393554688,1351.3779296875,12206.767578125,12155.916015625,12399.4443359375,,,,,2020-12-29,5.9168090819999861,99.4775390625,,,北海道
JP-01,HOKKAIDO,2021-01-08,14141.9560546875,14073.78515625,14403.26171875,506.8424377441,505.4310302734,527.9866333008,1309.7189941406,1297.5737304688,1340.3729248047,12316.3603515625,12261.794921875,12523.6416015625,,,,,2020-12-29,5.7964172362999875,103.08203125,,,北海道
