japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2021-02-13,18426.681640625,18397.41015625,18629.353515625,634.9445800781,632.9862060547,656.8133544922,1014.3369750977,1012.7925415039,1084.5876464844,16766.236328125,16740.8125,16874.65625,,,,,2021-02-12,2.9445800780999889,69.681640625,,,北海道
JP-01,HOKKAIDO,2021-02-14,18486.68359375,18430.900390625,18869.505859375,637.840637207,634.1018676758,679.6037597656,987.8466796875,984.9888305664,1117.8387451172,16850.052734375,16801.505859375,17057.150390625,,,,,2021-02-12,2.8960571288999972,60.001953125,,,北海道
JP-01,HOKKAIDO,2021-02-15,18539.609375,18459.908203125,19080.974609375,640.6701660156,635.3126220703,700.5256347656,957.407043457,953.4565429688,1137.1029052734,16931.705078125,16862.126953125,17228.43359375,,,,,2021-02-12,2.8295288086000028,52.92578125,,,北海道
JP-01,HOKKAIDO,2021-02-16,18594.64453125,18493.185546875,19277.900390625,643.4239501953,636.5946655273,719.7474365234,930.3399658203,925.46875,1151.9339599609,17010.892578125,16922.1875,17389.681640625,,,,,2021-02-12,2.7537841797000056,55.03515625,,,北海道
JP-01,HOKKAIDO,2021-02-17,18647.37109375,18526.25390625,19456.244140625,646.1058349609,637.9382324219,737.4165649414,903.7561645508,898.1214599609,1160.0942382812,17087.833984375,16981.734375,17541.509765625,,,,,2021-02-12,2.6818847655999889,52.7265625,,,北海道
JP-01,HOKKAIDO,2021-02-18,18704.431640625,18565.337890625,19626.494140625,648.7266845703,639.3417358398,753.6637573242,882.7782592773,876.4806518555,1169.2738037109,17162.599609375,17040.671875,17684.01171875,,,,,2021-02-12,2.6208496094000111,57.060546875,,,北海道
JP-01,HOKKAIDO,2021-02-19,18772.466796875,18616.759765625,19800.822265625,651.2883300781,640.7958984375,768.6307983398,873.3129882812,866.3762817383,1188.8892822266,17235.671875,17099.33984375,17819.013671875,,,,,2021-02-12,2.5616455077999944,68.03515625,,,北海道
JP-01,HOKKAIDO,2021-02-20,18831.33984375,18661.015625,19950.302734375,653.837097168,642.3364257812,782.4736938477,858.4952392578,851.0512695312,1197.1616210938,17307.955078125,17158.50390625,17947.654296875,,,,,2021-02-12,2.548767089900025,58.873046875,,,北海道
JP-01,HOKKAIDO,2021-02-21,18888.462890625,18704.787109375,20088.099609375,656.3507080078,643.9318847656,795.2674560547,842.408996582,834.5526733398,1199.8482666016,17379.0546875,17217.650390625,18069.943359375,,,,,2021-02-12,2.5136108397999806,57.123046875,,,北海道
JP-01,HOKKAIDO,2021-02-22,18942.61328125,18746.8515625,20213.255859375,658.8223266602,645.567199707,807.107421875,824.7813110352,816.6032104492,1196.8764648438,17448.8125,17276.517578125,18186.458984375,,,,,2021-02-12,2.471618652400025,54.150390625,,,北海道
