japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji,__index_level_0__
JP-01,HOKKAIDO,2021-06-27 00:00:00 UTC,41217.5234375,41213.28515625,41487.4921875,1384.873046875,1384.6802978515625,1402.1031494140625,1346.595458984375,1346.2069091796875,1450.92431640625,38464.55859375,38460.9140625,38608.1875,,,,,2021-06-26 00:00:00 UTC,2.873046875,94.5234375,,,北海道,28
JP-01,HOKKAIDO,2021-06-28 00:00:00 UTC,41238.94921875,41230.9453125,41736.03515625,1387.923583984375,1387.5577392578125,1420.6357421875,1247.025146484375,1246.3419189453125,1430.6087646484375,38580.9140625,38573.9765625,38851.94140625,,,,,2021-06-26 00:00:00 UTC,3.050537109375,21.42578125,,,北海道,29
JP-01,HOKKAIDO,2021-06-29 00:00:00 UTC,41267.96484375,41256.578125,41961.19140625,1391.4879150390625,1390.9652099609375,1438.228759765625,1156.1124267578125,1155.209228515625,1398.8736572265625,38692.05859375,38682.140625,39078.74609375,,,,,2021-06-26 00:00:00 UTC,3.5643310546875,29.015625,,,北海道,30
JP-01,HOKKAIDO,2021-06-30 00:00:00 UTC,41307.921875,41293.5078125,42171.4140625,1394.650390625,1393.9862060546875,1454.0386962890625,1080.688232421875,1079.6170654296875,1368.6610107421875,38798.9296875,38786.3203125,39289.4140625,,,,,2021-06-26 00:00:00 UTC,3.1624755859375,39.95703125,,,北海道,31
JP-01,HOKKAIDO,2021-07-01 00:00:00 UTC,41345.73828125,41328.61328125,42353.96484375,1397.024658203125,1396.233642578125,1467.7423095703125,1021.362060546875,1020.1571044921875,1345.464599609375,38892.8828125,38877.83984375,39475.03125,,,,,2021-06-26 00:00:00 UTC,2.374267578125,37.81640625,,,北海道,32
JP-01,HOKKAIDO,2021-07-02 00:00:00 UTC,41371.0859375,41351.55078125,42498.1171875,1399.042724609375,1398.1378173828125,1479.9237060546875,961.4512939453125,960.1541748046875,1310.552978515625,38978.0078125,38960.7734375,39641.24609375,,,,,2021-06-26 00:00:00 UTC,2.01806640625,25.34765625,,,北海道,33
JP-01,HOKKAIDO,2021-07-03 00:00:00 UTC,41391.109375,41369.44921875,42615.11328125,1400.998046875,1399.990966796875,1490.968017578125,903.62939453125,902.273193359375,1268.97412109375,39056.26953125,39037.0625,39790,,,,,2021-06-26 00:00:00 UTC,1.955322265625,20.0234375,,,北海道,34
JP-01,HOKKAIDO,2021-07-04 00:00:00 UTC,41405.5078125,41381.94921875,42705.11328125,1402.812255859375,1401.7135009765625,1500.950439453125,846.44598388671875,845.060302734375,1220.0662841796875,39131.4921875,39110.5,39928.01953125,,,,,2021-06-26 00:00:00 UTC,1.814208984375,14.3984375,,,北海道,35
JP-01,HOKKAIDO,2021-07-05 00:00:00 UTC,41415.23828125,41389.99609375,42772.95703125,1404.7572021484375,1403.5753173828125,1510.31494140625,785.8642578125,784.481201171875,1158.9739990234375,39206.33984375,39183.73046875,40060.4921875,,,,,2021-06-26 00:00:00 UTC,1.9449462890625,9.73046875,,,北海道,36
JP-01,HOKKAIDO,2021-07-06 00:00:00 UTC,41429.91015625,41403.16015625,42840.8828125,1407.0302734375,1405.773193359375,1519.2938232421875,727.76593017578125,726.4049072265625,1095.1558837890625,39277.19921875,39253.1328125,40182.54296875,,,,,2021-06-26 00:00:00 UTC,2.2730712890625,14.671875,,,北海道,37
JP-01,HOKKAIDO,2021-07-07 00:00:00 UTC,41452.12890625,41424.00390625,42913.40234375,1409.044189453125,1407.71923828125,1527.35595703125,678.22344970703125,676.8878173828125,1038.94140625,39344.80859375,39319.41796875,40296.38671875,,,,,2021-06-26 00:00:00 UTC,2.013916015625,22.21875,,,北海道,38
JP-01,HOKKAIDO,2021-07-08 00:00:00 UTC,41475.328125,41445.9609375,42983.25,1410.5511474609375,1409.1649169921875,1534.335205078125,639.44012451171875,638.12353515625,995.08740234375,39404.07421875,39377.4921875,40398.5546875,,,,,2021-06-26 00:00:00 UTC,1.5069580078125,23.19921875,,,北海道,39
JP-01,HOKKAIDO,2021-07-09 00:00:00 UTC,41492.5546875,41462.08203125,43037.17578125,1411.8280029296875,1410.38671875,1540.51953125,601.63421630859375,600.346923828125,949.4295654296875,39457.75390625,39430.09375,40490.40234375,,,,,2021-06-26 00:00:00 UTC,1.27685546875,17.2265625,,,北海道,40
JP-01,HOKKAIDO,2021-07-10 00:00:00 UTC,41507.72265625,41476.265625,43083.0859375,1413.063232421875,1411.5721435546875,1546.1875,566.143798828125,564.89129638671875,904.58184814453125,39507.18359375,39478.55859375,40574.28515625,,,,,2021-06-26 00:00:00 UTC,1.2352294921875,15.16796875,,,北海道,41
JP-01,HOKKAIDO,2021-07-11 00:00:00 UTC,41519.86328125,41487.53125,43115.62109375,1414.2091064453125,1412.6734619140625,1551.3135986328125,531.92596435546875,530.7144775390625,859.34600830078125,39554.8125,39525.3125,40652.53125,,,,,2021-06-26 00:00:00 UTC,1.1458740234375,12.140625,,,北海道,42
JP-01,HOKKAIDO,2021-07-12 00:00:00 UTC,41528.99609375,41495.89453125,43136.49609375,1415.43896484375,1413.862548828125,1556.168212890625,496.08584594726562,494.9267578125,809.3642578125,39602.33203125,39572.03125,40728.28515625,,,,,2021-06-26 00:00:00 UTC,1.2298583984375,9.1328125,,,北海道,43
JP-01,HOKKAIDO,2021-07-13 00:00:00 UTC,41544.37109375,41510.56640625,43169.0703125,1416.882080078125,1415.26904296875,1560.867431640625,463.04080200195312,461.93450927734375,762.1070556640625,39647.5234375,39616.51171875,40797.671875,,,,,2021-06-26 00:00:00 UTC,1.443115234375,15.375,,,北海道,44
JP-01,HOKKAIDO,2021-07-14 00:00:00 UTC,41568.9765625,41534.5078125,43216.18359375,1418.169677734375,1416.52392578125,1565.064453125,438.55709838867188,437.48861694335938,727.48516845703125,39691.1328125,39659.4765625,40862.44140625,,,,,2021-06-26 00:00:00 UTC,1.28759765625,24.60546875,,,北海道,45
JP-01,HOKKAIDO,2021-07-15 00:00:00 UTC,41596.18359375,41561.109375,43265.5703125,1419.1480712890625,1417.4732666015625,1568.6339111328125,422.62600708007812,421.57846069335938,705.98089599609375,39730.3125,39698.07421875,40920.3359375,,,,,2021-06-26 00:00:00 UTC,0.9783935546875,27.20703125,,,北海道,46
JP-01,HOKKAIDO,2021-07-16 00:00:00 UTC,41617.1328125,41581.52734375,43301.06640625,1419.994873046875,1418.2938232421875,1571.80859375,405.08294677734375,404.06341552734375,680.922607421875,39766.828125,39734.06640625,40973.66796875,,,,,2021-06-26 00:00:00 UTC,0.8468017578125,20.94921875,,,北海道,47
JP-01,HOKKAIDO,2021-07-17 00:00:00 UTC,41635.546875,41599.4765625,43331.2890625,1420.82861328125,1419.103515625,1574.7801513671875,387.83670043945312,386.84716796875,655.58935546875,39801.2109375,39767.97265625,41024.25,,,,,2021-06-26 00:00:00 UTC,0.833740234375,18.4140625,,,北海道,48
JP-01,HOKKAIDO,2021-07-18 00:00:00 UTC,41650.2421875,41613.7578125,43347.984375,1421.61474609375,1419.868408203125,1577.45947265625,370.75726318359375,369.79983520507812,629.86676025390625,39834.93359375,39801.26171875,41071.58984375,,,,,2021-06-26 00:00:00 UTC,0.7861328125,14.6953125,,,北海道,49
JP-01,HOKKAIDO,2021-07-19 00:00:00 UTC,41661.53125,41624.6953125,43353.36328125,1422.4725341796875,1420.7071533203125,1580.0084228515625,351.47174072265625,350.55447387695312,599.79022216796875,39868.99609375,39834.9375,41117.17578125,,,,,2021-06-26 00:00:00 UTC,0.8577880859375,11.2890625,,,北海道,50
JP-01,HOKKAIDO,2021-07-20 00:00:00 UTC,41680.03125,41642.859375,43378.39453125,1423.495361328125,1421.712646484375,1582.5791015625,334.10699462890625,333.22671508789062,572.45623779296875,39901.76953125,39867.36328125,41160.26171875,,,,,2021-06-26 00:00:00 UTC,1.0228271484375,18.5,,,北海道,51
JP-01,HOKKAIDO,2021-07-21 00:00:00 UTC,41709.0703125,41671.55078125,43425.05078125,1424.4254150390625,1422.6265869140625,1584.93994140625,325.221923828125,324.35772705078125,559.244873046875,39934.046875,39899.31640625,41202.91015625,,,,,2021-06-26 00:00:00 UTC,0.9300537109375,29.0390625,,,北海道,52
JP-01,HOKKAIDO,2021-07-22 00:00:00 UTC,41740.23828125,41702.39453125,43473.6640625,1425.1522216796875,1423.339111328125,1586.9525146484375,322.74041748046875,321.87625122070312,556.77447509765625,39964.04296875,39929.0234375,41242.5625,,,,,2021-06-26 00:00:00 UTC,0.726806640625,31.16796875,,,北海道,53
JP-01,HOKKAIDO,2021-07-23 00:00:00 UTC,41762.95703125,41724.84765625,43504.6015625,1425.7999267578125,1423.9736328125,1588.7833251953125,315.65185546875,314.80084228515625,546.12603759765625,39992.8828125,39957.59765625,41280.9296875,,,,,2021-06-26 00:00:00 UTC,0.647705078125,22.71875,,,北海道,54
JP-01,HOKKAIDO,2021-07-24 00:00:00 UTC,41782.21875,41743.87890625,43526.87109375,1426.4500732421875,1424.6121826171875,1590.4620361328125,307.0367431640625,306.20391845703125,532.60626220703125,40020.5234375,39985,41315.9609375,,,,,2021-06-26 00:00:00 UTC,0.650146484375,19.26171875,,,北海道,55
JP-02,AOMORI,2021-06-27 00:00:00 UTC,2484.45166015625,2484.2021484375,2497.58935546875,31.022708892822266,31.018461227416992,31.401344299316406,29.959300994873047,29.948410034179688,32.300121307373047,2414.45458984375,2414.22802734375,2422.921630859375,,,,,2021-06-26 00:00:00 UTC,0.022708892822265625,8.45166015625,,,青森県,84
JP-02,AOMORI,2021-06-28 00:00:00 UTC,2489.502197265625,2489.027099609375,2514.144775390625,31.057226181030273,31.049142837524414,31.77760124206543,34.772796630859375,34.747234344482422,39.947151184082031,2417.252685546875,2416.8212890625,2433.3515625,,,,,2021-06-26 00:00:00 UTC,0.034517288208007812,5.050537109375,,,青森県,85
JP-02,AOMORI,2021-06-29 00:00:00 UTC,2496.1220703125,2495.439453125,2531.860595703125,31.109407424926758,31.097866058349609,32.137832641601562,38.63812255859375,38.5960693359375,46.851055145263672,2420.2705078125,2419.65478515625,2443.1630859375,,,,,2021-06-26 00:00:00 UTC,0.052181243896484375,6.619873046875,,,青森県,86
JP-02,AOMORI,2021-06-30 00:00:00 UTC,2504.561767578125,2503.687255859375,2551.239013671875,31.164323806762695,31.1496524810791,32.471431732177734,43.566375732421875,43.504653930664062,55.330059051513672,2423.73583984375,2422.953857421875,2452.759765625,,,,,2021-06-26 00:00:00 UTC,0.0549163818359375,8.439697265625,,,青森県,87
JP-02,AOMORI,2021-07-01 00:00:00 UTC,2511.899658203125,2510.8515625,2568.2099609375,31.212257385253906,31.194786071777344,32.768226623535156,48.155036926269531,48.072822570800781,63.6469841003418,2427.0458984375,2426.114013671875,2461.378662109375,,,,,2021-06-26 00:00:00 UTC,0.047933578491210938,7.337890625,,,青森県,88
JP-02,AOMORI,2021-07-02 00:00:00 UTC,2516.42919921875,2515.228759765625,2580.674072265625,31.259105682373047,31.239107131958008,33.0400390625,50.1784553527832,50.080623626708984,68.64794921875,2430.2734375,2429.20654296875,2469.400634765625,,,,,2021-06-26 00:00:00 UTC,0.046848297119140625,4.529541015625,,,青森県,89
JP-02,AOMORI,2021-07-03 00:00:00 UTC,2519.658935546875,2518.32470703125,2590.454833984375,31.309371948242188,31.287101745605469,33.292499542236328,50.987987518310547,50.878704071044922,71.873519897460938,2433.3837890625,2432.195068359375,2476.728271484375,,,,,2021-06-26 00:00:00 UTC,0.050266265869140625,3.229736328125,,,青森県,90
JP-02,AOMORI,2021-07-04 00:00:00 UTC,2521.760498046875,2520.310302734375,2597.4853515625,31.359573364257812,31.335248947143555,33.525558471679688,50.888027191162109,50.771728515625,73.622161865234375,2436.602783203125,2435.303955078125,2483.75732421875,,,,,2021-06-26 00:00:00 UTC,0.050201416015625,2.1015625,,,青森県,91
JP-02,AOMORI,2021-07-05 00:00:00 UTC,2523.040771484375,2521.490478515625,2602.368408203125,31.417800903320312,31.391605377197266,33.750324249267578,49.5443000793457,49.426197052001953,73.322067260742188,2440.187255859375,2438.788330078125,2490.833251953125,,,,,2021-06-26 00:00:00 UTC,0.0582275390625,1.2802734375,,,青森県,92
JP-02,AOMORI,2021-07-06 00:00:00 UTC,2524.750732421875,2523.110107421875,2607.814453125,31.491971969604492,31.464067459106445,33.976726531982422,47.777946472167969,47.660942077636719,72.126167297363281,2443.805908203125,2442.316650390625,2497.611328125,,,,,2021-06-26 00:00:00 UTC,0.074171066284179688,1.7099609375,,,青森県,93
JP-02,AOMORI,2021-07-07 00:00:00 UTC,2526.970458984375,2525.247802734375,2613.544189453125,31.559764862060547,31.530311584472656,34.182266235351562,46.241302490234375,46.125999450683594,71.036758422851562,2447.541015625,2445.9697265625,2504.20947265625,,,,,2021-06-26 00:00:00 UTC,0.067792892456054688,2.2197265625,,,青森県,94
JP-02,AOMORI,2021-07-08 00:00:00 UTC,2528.941162109375,2527.14453125,2618.630615234375,31.610532760620117,31.579692840576172,34.356552124023438,45.259429931640625,45.144935607910156,70.610885620117188,2450.6005859375,2448.95556640625,2509.841796875,,,,,2021-06-26 00:00:00 UTC,0.050767898559570312,1.970703125,,,青森県,95
JP-02,AOMORI,2021-07-09 00:00:00 UTC,2530.18896484375,2528.32763671875,2622.305908203125,31.654508590698242,31.622419357299805,34.511772155761719,43.961685180664062,43.849037170410156,69.532554626464844,2453.290283203125,2451.578857421875,2514.845703125,,,,,2021-06-26 00:00:00 UTC,0.043975830078125,1.247802734375,,,青森県,96
JP-02,AOMORI,2021-07-10 00:00:00 UTC,2531.1025390625,2529.18359375,2625.11865234375,31.698537826538086,31.665323257446289,34.655857086181641,42.552047729492188,42.441776275634766,68.127517700195312,2455.75048828125,2453.9794921875,2519.337646484375,,,,,2021-06-26 00:00:00 UTC,0.04402923583984375,0.91357421875,,,青森県,97
JP-02,AOMORI,2021-07-11 00:00:00 UTC,2531.712890625,2529.7431640625,2626.904296875,31.740447998046875,31.706222534179688,34.787628173828125,40.919437408447266,40.812332153320312,66.227378845214844,2458.231201171875,2456.406494140625,2523.610107421875,,,,,2021-06-26 00:00:00 UTC,0.041910171508789062,0.6103515625,,,青森県,98
JP-02,AOMORI,2021-07-12 00:00:00 UTC,2532.095947265625,2530.082275390625,2627.788818359375,31.787315368652344,31.752174377441406,34.915969848632812,38.789382934570312,38.686954498291016,63.388946533203125,2460.9736328125,2459.099853515625,2527.94482421875,,,,,2021-06-26 00:00:00 UTC,0.04686737060546875,0.383056640625,,,青森県,99
JP-02,AOMORI,2021-07-13 00:00:00 UTC,2532.62255859375,2530.569091796875,2628.864501953125,31.845458984375,31.809476852416992,35.049186706542969,36.555145263671875,36.457855224609375,60.254329681396484,2463.72119140625,2461.80322265625,2532.12744140625,,,,,2021-06-26 00:00:00 UTC,0.05814361572265625,0.526611328125,,,青森県,100
JP-02,AOMORI,2021-07-14 00:00:00 UTC,2533.326904296875,2531.237060546875,2630.02294921875,31.897377014160156,31.860633850097656,35.168888092041016,34.416954040527344,34.324710845947266,57.167621612548828,2466.506591796875,2464.54833984375,2536.218994140625,,,,,2021-06-26 00:00:00 UTC,0.05191802978515625,0.704345703125,,,青森県,101
JP-02,AOMORI,2021-07-15 00:00:00 UTC,2533.971435546875,2531.848876953125,2631.2666015625,31.935214996337891,31.897781372070312,35.267959594726562,32.844753265380859,32.756149291992188,54.932037353515625,2468.719482421875,2466.72509765625,2539.6806640625,,,,,2021-06-26 00:00:00 UTC,0.037837982177734375,0.64453125,,,青森県,102
JP-02,AOMORI,2021-07-16 00:00:00 UTC,2534.393798828125,2532.241943359375,2632.12353515625,31.967153549194336,31.929100036621094,35.354801177978516,31.386655807495117,31.301494598388672,52.816684722900391,2470.61669921875,2468.58984375,2542.696044921875,,,,,2021-06-26 00:00:00 UTC,0.031938552856445312,0.42236328125,,,青森県,103
JP-02,AOMORI,2021-07-17 00:00:00 UTC,2534.713623046875,2532.535400390625,2632.74951171875,31.99860954284668,31.959997177124023,35.435951232910156,30.012973785400391,29.931118011474609,50.783298492431641,2472.328125,2470.27197265625,2545.41015625,,,,,2021-06-26 00:00:00 UTC,0.03145599365234375,0.31982421875,,,青森県,104
JP-02,AOMORI,2021-07-18 00:00:00 UTC,2534.934814453125,2532.7333984375,2632.999755859375,32.028179168701172,31.98906135559082,35.510368347167969,28.579227447509766,28.500921249389648,48.595767974853516,2474.040771484375,2471.9580078125,2548.0283203125,,,,,2021-06-26 00:00:00 UTC,0.029569625854492188,0.22119140625,,,青森県,105
