japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2020-12-03,9587.4951171875,9547.22265625,9767.7421875,217.8842163086,217.1445922852,218.7065429688,2294.6938476562,2283.8742675781,2427.3244628906,7032.8198242188,7004.3208007812,7079.1474609375,,,,,2020-12-02,4.9499511719000111,328.31640625,,,北海道
JP-01,HOKKAIDO,2020-12-04,9805.8935546875,9727.646484375,10154.51171875,222.7665405273,221.3300323486,224.3392333984,2335.7858886719,2314.8610839844,2592.431640625,7201.41796875,7145.9760742188,7290.8227539062,,,,,2020-12-02,4.8823242187000062,218.3984375,,,北海道
JP-01,HOKKAIDO,2020-12-05,10035.6376953125,9921.4306640625,10543.40625,227.6922607422,225.5983886719,229.9513702393,2387.1958007812,2356.6945800781,2761.55078125,7373.9877929688,7293.0209960938,7503.6796875,,,,,2020-12-02,4.9257202148999966,229.744140625,,,北海道
JP-01,HOKKAIDO,2020-12-06,10266.5380859375,10118.291015625,10923.341796875,232.6912994385,229.9761047363,235.589050293,2430.7761230469,2391.3642578125,2914.8276367188,7551.2241210938,7446.0122070312,7718.951171875,,,,,2020-12-02,4.9990386963000049,230.900390625,,,北海道
JP-01,HOKKAIDO,2020-12-07,10487.1796875,10306.931640625,11283.091796875,237.7388305664,234.4358062744,241.2274017334,2472.4731445312,2424.73828125,3059.1455078125,7732.7133789062,7604.4252929688,7936.3295898438,,,,,2020-12-02,5.0475311278999868,220.6416015625,,,北海道
JP-01,HOKKAIDO,2020-12-08,10687.072265625,10477.044921875,11607.5234375,242.8297424316,238.9698028564,246.8736572266,2490.7336425781,2435.7121582031,3167.2934570312,7918.0581054688,7767.7587890625,8155.9946289062,,,,,2020-12-02,5.0909118652000132,199.892578125,,,北海道
JP-01,HOKKAIDO,2020-12-09,10885.3173828125,10647.275390625,11916.9990234375,247.9175872803,243.5301208496,252.4746856689,2493.8923339844,2432.55078125,3248.2915039062,8105.5786132812,7934.2744140625,8376.0703125,,,,,2020-12-02,5.0878448487000014,198.2451171875,,,北海道
JP-01,HOKKAIDO,2020-12-10,11131.162109375,10865.44140625,12280.134765625,252.9974212646,248.1097106934,258.0416870117,2542.2795410156,2474.0134277344,3382.0588378906,8294.033203125,8102.6806640625,8595.51171875,,,,,2020-12-02,5.0798339842999951,245.8447265625,,,北海道
JP-01,HOKKAIDO,2020-12-11,11379.25,11087.109375,12640.0888671875,258.1615600586,252.7972717285,263.6659851074,2592.5158691406,2517.6384277344,3513.8842773438,8486.7041015625,8276.1123046875,8817.81640625,,,,,2020-12-02,5.1641387939999959,248.087890625,,,北海道
JP-01,HOKKAIDO,2020-12-12,11635.552734375,11317.96875,13004.4208984375,263.4109802246,257.5917053223,269.351348877,2646.6223144531,2565.3481445312,3647.0043945312,8683.72265625,8454.6201171875,9043.2578125,,,,,2020-12-02,5.2494201659999931,256.302734375,,,北海道
