name,name_jp,population_jp,population_jp_male,population_jp_female
Hokkaido,北海道,5286000,2489000,2797000
Aomori,青森県,1263000,593000,670000
Iwate,岩手県,1241000,598000,643000
Miyagi,宮城県,2316000,1132000,1184000
Akita,秋田県,981000,461000,520000
Yamagata,山形県,1090000,526000,565000
Fukushima,福島県,1864000,923000,941000
Ibaraki,茨城県,2877000,1435000,1442000
Tochigi,栃木県,1946000,969000,977000
Gunma,群馬県,1952000,965000,987000
Saitama,埼玉県,7330000,3658000,3672000
Chiba,千葉県,6255000,3105000,3150000
Tokyo,東京都,13822000,6802000,7020000
Kanagawa,神奈川県,9177000,4576000,4601000
Niigata,新潟県,2246000,1088000,1157000
Toyama,富山県,1050000,510000,541000
Ishikawa,石川県,1143000,555000,589000
Fukui,福井県,774000,376000,398000
Yamanashi,山梨県,817000,400000,417000
Nagano,長野県,2063000,1006000,1057000
Gifu,岐阜県,1997000,968000,1029000
Shizuoka,静岡県,3659000,1803000,1856000
Aichi,愛知県,7537000,3770000,3767000
Mie,三重県,1791000,874000,917000
Shiga,滋賀県,1412000,697000,715000
Kyoto,京都府,2591000,1238000,1353000
Osaka,大阪府,8813000,4232000,4581000
Hyogo,兵庫県,5484000,2614000,2870000
Nara,奈良県,1339000,631000,708000
Wakayama,和歌山県,935000,440000,495000
Tottori,鳥取県,560000,268000,293000
Shimane,島根県,680000,328000,352000
Okayama,岡山県,1898000,912000,986000
Hiroshima,広島県,2817000,1367000,1450000
Yamaguchi,山口県,1370000,650000,720000
Tokushima,徳島県,736000,351000,385000
Kagawa,香川県,962000,466000,496000
Ehime,愛媛県,1352000,639000,713000
Kochi,高知県,706000,333000,373000
Fukuoka,福岡県,5107000,2416000,2691000
Saga,佐賀県,819000,388000,432000
Nagasaki,長崎県,1341000,631000,710000
Kumamoto,熊本県,1757000,829000,928000
Oita,大分県,1144000,542000,602000
Miyazaki,宮崎県,1081000,509000,572000
Kagoshima,鹿児島県,1614000,758000,856000
Okinawa,沖縄県,1448000,712000,736000
