name,name_jp,population_jp,population_jp_male,population_jp_female
Hokkaido,北海道,5352000,2521000,2830000
Aomori,青森県,1293000,608000,686000
Iwate,岩手県,1268000,610000,658000
Miyagi,宮城県,2330000,1139000,1191000
Akita,秋田県,1010000,474000,536000
Yamagata,山形県,1113000,536000,578000
Fukushima,福島県,1901000,941000,960000
Ibaraki,茨城県,2905000,1448000,1457000
Tochigi,栃木県,1966000,978000,988000
Gunma,群馬県,1967000,971000,996000
Saitama,埼玉県,7289000,3639000,3651000
Chiba,千葉県,6236000,3099000,3136000
Tokyo,東京都,13624000,6717000,6907000
Kanagawa,神奈川県,9145000,4565000,4580000
Niigata,新潟県,2286000,1107000,1179000
Toyama,富山県,1061000,513000,548000
Ishikawa,石川県,1151000,557000,594000
Fukui,福井県,782000,380000,403000
Yamanashi,山梨県,830000,406000,424000
Nagano,長野県,2088000,1017000,1071000
Gifu,岐阜県,2022000,979000,1043000
Shizuoka,静岡県,3688000,1815000,1872000
Aichi,愛知県,7507000,3755000,3752000
Mie,三重県,1808000,880000,928000
Shiga,滋賀県,1413000,697000,716000
Kyoto,京都府,2605000,1246000,1359000
Osaka,大阪府,8833000,4249000,4583000
Hyogo,兵庫県,5520000,2633000,2887000
Nara,奈良県,1356000,640000,717000
Wakayama,和歌山県,954000,449000,505000
Tottori,鳥取県,570000,272000,298000
Shimane,島根県,690000,331000,358000
Okayama,岡山県,1915000,919000,996000
Hiroshima,広島県,2837000,1375000,1462000
Yamaguchi,山口県,1394000,660000,734000
Tokushima,徳島県,750000,357000,393000
Kagawa,香川県,972000,471000,502000
Ehime,愛媛県,1375000,650000,725000
Kochi,高知県,721000,339000,382000
Fukuoka,福岡県,5104000,2413000,2692000
Saga,佐賀県,828000,391000,437000
Nagasaki,長崎県,1367000,642000,725000
Kumamoto,熊本県,1774000,836000,938000
Oita,大分県,1160000,549000,611000
Miyazaki,宮崎県,1096000,516000,581000
Kagoshima,鹿児島県,1637000,768000,869000
Okinawa,沖縄県,1439000,708000,732000
