地域コード,地域識別コード,境域年次(2015),境域年次(2000),,人口　平成27年　(a),人口　平成22年（組替） 2),平成22年～27年の人口増減数 2),平成22年～27年の人口増減率（％） 2),面積（km2）　(b) 1) 2),人口密度（1km2当たり）　(a)/(b) 2),世帯数　平成27年,世帯数　平成22年（組替） 2),平成22年～27年の世帯数増減数 2),平成22年～27年の世帯数増減率（％） 2)
2408,9,,2000,(旧 408 東北町),8920,9621,-701,-7.2861448914,207.23,43.0,2984,3039,-55,-1.8098058572
2411,3,2015,2000,六ヶ所村,10536,11095,-559,-5.0383055430,252.68,41.7,4683,4751,-68,-1.4312776258
2412,3,2015,,おいらせ町,24222,24211,11,0.0454338937,71.96,336.6,8658,8330,328,3.9375750300
2412,9,,2000,(旧 403 百石町),9000,9420,-420,-4.4585987261,21.44,419.8,3202,3189,13,0.4076513013
2412,9,,2000,(旧 410 下田町),15222,14791,431,2.9139341491,50.44,301.8,5456,5141,315,6.1272126046
2420,c,2015,2000,下北郡,15958,18477,-2519,-13.6331655572,551.96,28.9,6459,7430,-971,-13.0686406460
2423,3,2015,2000,大間町,5227,6340,-1113,-17.5552050473,52.10,100.3,2152,2636,-484,-18.3611532625
2424,3,2015,2000,東通村,6607,7252,-645,-8.8940981798,295.27,22.4,2578,2710,-132,-4.8708487085
2425,3,2015,2000,風間浦村,1976,2463,-487,-19.7726349980,69.55,28.4,823,1096,-273,-24.9087591241
2426,3,2015,2000,佐井村,2148,2422,-274,-11.3129644922,135.04,15.9,906,988,-82,-8.2995951417
2440,c,2015,2000,三戸郡,67968,73589,-5621,-7.6383698651,969.33,70.1,24834,25437,-603,-2.3705625663
2441,3,2015,2000,三戸町,10135,11299,-1164,-10.3017966192,151.79,66.8,3756,3961,-205,-5.1754607422
2442,3,2015,,五戸町,17433,18712,-1279,-6.8351859769,177.67,98.1,6123,6177,-54,-0.8742107819
2442,9,,2000,(旧 442 五戸町),14560,15711,-1151,-7.3260772707,122.14,119.2,5221,5331,-110,-2.0634027387
2442,9,,2000,(旧 449 倉石村),2873,3001,-128,-4.2652449184,55.68,51.6,902,846,56,6.6193853428
2443,3,2015,2000,田子町,5554,6175,-621,-10.0566801619,241.98,23.0,2006,2097,-91,-4.3395326657
2445,3,2015,,南部町,18312,19853,-1541,-7.7620510754,153.12,119.6,6419,6621,-202,-3.0508986558
2445,9,,2000,(旧 444 名川町),7360,7948,-588,-7.3980875692,83.45,88.2,2541,2626,-85,-3.2368621478
2445,9,,2000,(旧 445 南部町),4862,5390,-528,-9.7959183673,29.58,164.4,1786,1853,-67,-3.6157582299
2445,9,,2000,(旧 447 福地村),6090,6515,-425,-6.5234075211,40.18,151.6,2092,2142,-50,-2.3342670401
2446,3,2015,2000,階上町,14025,14699,-674,-4.5853459419,94.01,149.2,5699,5707,-8,-0.1401787279
2450,3,2015,2000,新郷村,2509,2851,-342,-11.9957909505,150.77,16.6,831,874,-43,-4.9199084668
3000,a,2015,2000,岩手県,1279594,1330147,-50553,-3.8005573820,15275.01,83.8,493049,483934,9115,1.8835213066
3001,b,2015,2000,市部,1054276,1086795,-32519,-2.9921926398,9650.72,109.2,411806,401977,9829,2.4451647731
3002,b,2015,2000,郡部,225318,243352,-18034,-7.4106643874,5624.29,40.1,81243,81957,-714,-0.8711885501
3201,2,2015,,盛岡市,297631,298348,-717,-0.2403233807,886.47,335.7,129718,125096,4622,3.6947624225
3201,9,,2000,(旧 201 盛岡市),285480,285344,136,0.0476617697,489.15,583.6,125671,121064,4607,3.8054252296
3201,9,,2000,(旧 307 玉山村),12151,13004,-853,-6.5595201476,397.32,30.6,4047,4032,15,0.3720238095
3202,2,2015,,宮古市,56676,59430,-2754,-4.6340232206,1259.15,45.0,23387,22509,878,3.9006619574
3202,9,,2000,(旧 202 宮古市),48051,49145,-1094,-2.2260657239,339.44,141.6,19776,18806,970,5.1579283207
3202,9,,2000,(旧 481 田老町),3172,4302,-1130,-26.2668526267,101.05,31.4,1292,1467,-175,-11.9291070211
3202,9,,2000,(旧 486 新里村),2852,3073,-221,-7.1916693785,256.29,11.1,1118,1105,13,1.1764705882
3202,9,,2000,(旧 487 川井村),2601,2910,-309,-10.6185567010,563.07,4.6,1201,1131,70,6.1892130858
3203,2,2015,,大船渡市,38058,40737,-2679,-6.5763310995,322.50,118.0,14807,14819,-12,-0.0809771240
3203,9,,2000,(旧 203 大船渡市),31762,33351,-1589,-4.7644748283,186.06,170.7,12575,12135,440,3.6258755665
3203,9,,2000,(旧 442 三陸町),6296,7386,-1090,-14.7576496074,137.13,45.9,2232,2684,-452,-16.8405365127
3205,2,2015,,花巻市,97702,101438,-3736,-3.6830379148,908.39,107.6,33799,33774,25,0.0740214366
3205,9,,2000,(旧 205 花巻市),69234,70913,-1679,-2.3676899863,385.40,179.6,24859,24717,142,0.5745033782
3205,9,,2000,(旧 341 大迫町),5331,5942,-611,-10.2827330865,246.84,21.6,1738,1814,-76,-4.1896361632
3205,9,,2000,(旧 342 石鳥谷町),14383,15205,-822,-5.4061164091,118.57,121.3,4390,4364,26,0.5957836847
3205,9,,2000,(旧 361 東和町),8754,9378,-624,-6.6538707614,157.51,55.6,2812,2879,-67,-2.3271969434
3206,2,2015,2000,北上市,93511,93138,373,0.4004810067,437.55,213.7,35861,34068,1793,5.2630034050
3207,2,2015,,久慈市,35642,36872,-1230,-3.3358646127,623.50,57.2,14256,14012,244,1.7413645447
3207,9,,2000,(旧 207 久慈市),33117,34068,-951,-2.7914758718,327.62,101.1,13306,13017,289,2.2201736191
3207,9,,2000,(旧 504 山形村),2525,2804,-279,-9.9500713267,295.49,8.5,950,995,-45,-4.5226130653
3208,2,2015,,遠野市,28062,29331,-1269,-4.3264805155,825.97,34.0,9973,9888,85,0.8596278317
3208,9,,2000,(旧 208 遠野市),23653,24530,-877,-3.5752140236,660.38,35.8,8526,8390,136,1.6209773540
3208,9,,2000,(旧 462 宮守村),4409,4801,-392,-8.1649656322,165.24,26.7,1447,1498,-51,-3.4045393858
3209,2,2015,,一関市,121583,127642,-6059,-4.7468701525,1256.42,96.8,43046,42633,413,0.9687331410
3209,9,,2000,(旧 209 一関市),58830,60015,-1185,-1.9745063734,410.23,143.4,22448,21879,569,2.6006673065
3209,9,,2000,(旧 401 花泉町),13222,14350,-1128,-7.8606271777,126.83,104.2,4174,4281,-107,-2.4994160243
3209,9,,2000,(旧 421 大東町),13977,15313,-1336,-8.7246130739,278.71,50.1,4740,4873,-133,-2.7293248512
3209,9,,2000,(旧 422 藤沢町),8235,9064,-829,-9.1460723742,123.15,66.9,2611,2694,-83,-3.0809205642
3209,9,,2000,(旧 423 千厩町),11653,11960,-307,-2.5668896321,89.84,129.7,4084,3891,193,4.9601644821
3209,9,,2000,(旧 424 東山町),6816,7445,-629,-8.4486232371,87.72,77.7,2141,2195,-54,-2.4601366743
3209,9,,2000,(旧 425 室根村),5173,5492,-319,-5.8084486526,97.28,53.2,1682,1627,55,3.3804548248
3209,9,,2000,(旧 426 川崎村),3677,4003,-326,-8.1438920809,42.49,86.5,1166,1193,-27,-2.2632020117
3210,2,2015,2000,陸前高田市,19758,23300,-3542,-15.2017167382,231.94,85.2,7487,7785,-298,-3.8278741169
3211,2,2015,2000,釜石市,36802,39574,-2772,-7.0045989791,440.34,83.6,16860,16094,766,4.7595377159
3213,2,2015,,二戸市,27611,29702,-2091,-7.0399299710,420.42,65.7,10670,10847,-177,-1.6317875910
3213,9,,2000,(旧 213 二戸市),23545,25086,-1541,-6.1428685322,240.61,97.9,9292,9388,-96,-1.0225820196
3213,9,,2000,(旧 521 浄法寺町),4066,4616,-550,-11.9150779896,179.70,22.6,1378,1459,-81,-5.5517477724
3214,2,2015,,八幡平市,26355,28680,-2325,-8.1066945607,862.30,30.6,9429,9664,-235,-2.4317052980
3214,9,,2000,(旧 304 西根町),15862,17033,-1171,-6.8748899196,167.16,94.9,5672,5739,-67,-1.1674507754
3214,9,,2000,(旧 306 松尾村),5850,6385,-535,-8.3790133125,234.85,24.9,2019,2065,-46,-2.2276029056
3214,9,,2000,(旧 523 安代町),4643,5262,-619,-11.7635879894,460.24,10.1,1738,1860,-122,-6.5591397849
3215,2,2015,,奥州市,119422,124746,-5324,-4.2678723165,993.30,120.2,41726,41388,338,0.8166618343
3215,9,,2000,(旧 204 水沢市),56995,58331,-1336,-2.2903773294,96.92,588.1,21817,21313,504,2.3647539061
3215,9,,2000,(旧 212 江刺市),28864,30646,-1782,-5.8147882268,362.50,79.6,9697,9764,-67,-0.6861941827
3215,9,,2000,(旧 382 前沢町),13788,14463,-675,-4.6670815184,72.34,190.6,4281,4261,20,0.4693733865
3215,9,,2000,(旧 383 胆沢町),15547,16642,-1095,-6.5797380123,298.02,52.2,4668,4760,-92,-1.9327731092
3215,9,,2000,(旧 384 衣川村),4228,4664,-436,-9.3481989708,163.57,25.8,1263,1290,-27,-2.0930232558
3216,2,2015,,滝沢市,55463,53857,1606,2.9819707745,182.46,304.0,20787,19400,1387,7.1494845361
3216,9,,2000,(旧 305 滝沢村),55463,53857,1606,2.9819707745,182.46,304.0,20787,19400,1387,7.1494845361
3300,c,2015,2000,岩手郡,37017,40321,-3304,-8.1942412143,1404.24,26.4,12895,13246,-351,-2.6498565605
3301,3,2015,2000,雫石町,16981,18033,-1052,-5.8337492375,608.82,27.9,5508,5543,-35,-0.6314270251
3302,3,2015,2000,葛巻町,6344,7304,-960,-13.1434830230,434.96,14.6,2460,2664,-204,-7.6576576577
3303,3,2015,2000,岩手町,13692,14984,-1292,-8.6225306994,360.46,38.0,4927,5039,-112,-2.2226632268
3320,c,2015,2000,紫波郡,60292,60493,-201,-0.3322698494,306.30,196.8,20710,19369,1341,6.9234343539
3321,3,2015,2000,紫波町,32614,33288,-674,-2.0247536650,238.98,136.5,10808,10513,295,2.8060496528
3322,3,2015,2000,矢巾町,27678,27205,473,1.7386509833,67.32,411.1,9902,8856,1046,11.8112014453
3360,c,2015,2000,和賀郡,5880,6602,-722,-10.9360799758,590.74,10.0,2146,2272,-126,-5.5457746479
3366,3,2015,,西和賀町,5880,6602,-722,-10.9360799758,590.74,10.0,2146,2272,-126,-5.5457746479
3366,9,,2000,(旧 363 湯田町),2936,3302,-366,-11.0841913992,304.56,9.6,1150,1235,-85,-6.8825910931
3366,9,,2000,(旧 365 沢内村),2944,3300,-356,-10.7878787879,286.22,10.3,996,1037,-41,-3.9537126326
3380,c,2015,2000,胆沢郡,15895,16325,-430,-2.6339969372,179.76,88.4,5556,5409,147,2.7176927343
3381,3,2015,2000,金ケ崎町,15895,16325,-430,-2.6339969372,179.76,88.4,5556,5409,147,2.7176927343
3400,c,2015,2000,西磐井郡,7868,8345,-477,-5.7159976034,63.39,124.1,2478,2454,24,0.9779951100
3402,3,2015,2000,平泉町,7868,8345,-477,-5.7159976034,63.39,124.1,2478,2454,24,0.9779951100
3440,c,2015,2000,気仙郡,5720,6190,-470,-7.5928917609,334.84,17.1,2117,2083,34,1.6322611618
3441,3,2015,2000,住田町,5720,6190,-470,-7.5928917609,334.84,17.1,2117,2083,34,1.6322611618
3460,c,2015,2000,上閉伊郡,11759,15276,-3517,-23.0230426813,200.42,58.7,4927,5689,-762,-13.3942696432
3461,3,2015,2000,大槌町,11759,15276,-3517,-23.0230426813,200.42,58.7,4927,5689,-762,-13.3942696432
3480,c,2015,2000,下閉伊郡,31928,36352,-4424,-12.1698943662,1481.02,21.6,12787,13313,-526,-3.9510253136
3482,3,2015,2000,山田町,15826,18617,-2791,-14.9916742762,262.81,60.2,6218,6605,-387,-5.8591975776
3483,3,2015,2000,岩泉町,9841,10804,-963,-8.9133654202,992.36,9.9,4174,4357,-183,-4.2001377094
3484,3,2015,2000,田野畑村,3466,3843,-377,-9.8100442363,156.19,22.2,1292,1309,-17,-1.2987012987
3485,3,2015,2000,普代村,2795,3088,-293,-9.4883419689,69.66,40.1,1103,1042,61,5.8541266795
3500,c,2015,2000,九戸郡,36040,39261,-3221,-8.2040701969,763.55,47.2,12783,13075,-292,-2.2332695985
3501,3,2015,2000,軽米町,9333,10209,-876,-8.5806641199,245.82,38.0,3318,3343,-25,-0.7478312893
3503,3,2015,2000,野田村,4149,4632,-483,-10.4274611399,80.80,51.3,1516,1578,-62,-3.9290240811
3506,3,2015,2000,九戸村,5865,6507,-642,-9.8662978331,134.02,43.8,1990,2034,-44,-2.1632251721
