地域コード,地域識別コード,境域年次(2015),境域年次(2000),,人口　平成27年　(a),人口　平成22年（組替） 2),平成22年～27年の人口増減数 2),平成22年～27年の人口増減率（％） 2),面積（km2）　(b) 1) 2),人口密度（1km2当たり）　(a)/(b) 2),世帯数　平成27年,世帯数　平成22年（組替） 2),平成22年～27年の世帯数増減数 2),平成22年～27年の世帯数増減率（％） 2)
17386,3,2015,,宝達志水町,13174,14277,-1103,-7.7257126847,111.52,118.1,4447,4561,-114,-2.4994518746
17386,9,,2000,(旧 383 志雄町),5778,6334,-556,-8.7780233660,58.26,99.2,2001,2079,-78,-3.7518037518
17386,9,,2000,(旧 385 押水町),7396,7943,-547,-6.8865667884,53.42,138.5,2446,2482,-36,-1.4504431910
17400,c,2015,2000,鹿島郡,17571,18535,-964,-5.2009711357,89.45,196.4,6055,6133,-78,-1.2718082504
17407,3,2015,,中能登町,17571,18535,-964,-5.2009711357,89.45,196.4,6055,6133,-78,-1.2718082504
17407,9,,2000,(旧 402 鳥屋町),5182,5442,-260,-4.7776552738,27.00,191.9,1768,1771,-3,-0.1693958216
17407,9,,2000,(旧 404 鹿島町),7969,8419,-450,-5.3450528566,47.58,167.5,2769,2808,-39,-1.3888888889
17407,9,,2000,(旧 406 鹿西町),4420,4674,-254,-5.4343175011,14.78,299.1,1518,1554,-36,-2.3166023166
17460,c,2015,2000,鳳珠郡,26354,29300,-2946,-10.0546075085,456.47,57.7,10365,11023,-658,-5.9693368412
17461,3,2015,,穴水町,8786,9735,-949,-9.7483307653,183.21,48.0,3461,3659,-198,-5.4113145668
17461,9,,2000,(旧 421 穴水町),8786,9735,-949,-9.7483307653,183.21,48.0,3461,3659,-198,-5.4113145668
17463,3,2015,,能登町,17568,19565,-1997,-10.2070023000,273.27,64.3,6904,7364,-460,-6.2466051059
17463,9,,2000,(旧 423 能都町),8250,9217,-967,-10.4914831290,115.46,71.5,3391,3622,-231,-6.3776918829
17463,9,,2000,(旧 424 柳田村),3477,3802,-325,-8.5481325618,104.14,33.4,1198,1257,-59,-4.6937151949
17463,9,,2000,(旧 441 内浦町),5841,6546,-705,-10.7699358387,53.81,108.5,2315,2485,-170,-6.8410462777
18000,a,2015,2000,福井県,786740,806314,-19574,-2.4275902440,4190.49,187.7,279687,275599,4088,1.4833145258
18001,b,2015,2000,市部,687790,701606,-13816,-1.9691963866,2789.14,246.6,245413,241104,4309,1.7871955671
18002,b,2015,2000,郡部,98950,104708,-5758,-5.4991022653,1401.35,70.6,34274,34495,-221,-0.6406725612
18201,2,2015,,福井市,265904,266796,-892,-0.3343378461,536.41,495.7,99872,97446,2426,2.4895839747
18201,9,,2000,(旧 201 福井市),250970,250756,214,0.0853419260,340.60,736.8,95342,92769,2573,2.7735558214
18201,9,,2000,(旧 302 美山町),4097,4531,-434,-9.5784595012,137.73,29.7,1243,1312,-69,-5.2591463415
18201,9,,2000,(旧 424 越廼村),1252,1487,-235,-15.8036314728,15.35,81.6,477,518,-41,-7.9150579151
18201,9,,2000,(旧 426 清水町),9585,10022,-437,-4.3604071044,42.49,225.6,2810,2847,-37,-1.2996136284
18202,2,2015,2000,敦賀市,66165,67760,-1595,-2.3538961039,251.39,263.2,26545,26453,92,0.3477866405
18204,2,2015,2000,小浜市,29670,31340,-1670,-5.3286534780,233.09,127.3,11220,11477,-257,-2.2392611310
18205,2,2015,,大野市,33109,35291,-2182,-6.1828794877,872.43,38.0,10698,10847,-149,-1.3736517009
18205,9,,2000,(旧 205 大野市),32638,34750,-2112,-6.0776978417,539.92,60.4,10481,10621,-140,-1.3181433010
18205,9,,2000,(旧 342 和泉村),471,541,-70,-12.9390018484,332.38,1.4,217,226,-9,-3.9823008850
18206,2,2015,2000,勝山市,24125,25466,-1341,-5.2658446556,253.88,95.0,7703,7773,-70,-0.9005531970
18207,2,2015,2000,鯖江市,68284,67450,834,1.2364714603,84.59,807.2,22335,21028,1307,6.2155221609
18208,2,2015,,あわら市,28729,29989,-1260,-4.2015405649,116.98,245.6,9697,9735,-38,-0.3903441192
18208,9,,2000,(旧 362 芦原町),11848,12672,-824,-6.5025252525,37.91,312.5,4242,4406,-164,-3.7221970041
18208,9,,2000,(旧 363 金津町),16881,17317,-436,-2.5177571173,79.08,213.5,5455,5329,126,2.3644210921
18209,2,2015,,越前市,81524,85614,-4090,-4.7772560563,230.70,353.4,27889,27601,288,1.0434404551
18209,9,,2000,(旧 203 武生市),69819,73084,-3265,-4.4674620984,185.32,376.7,24414,24048,366,1.5219560878
18209,9,,2000,(旧 381 今立町),11705,12530,-825,-6.5841979250,45.43,257.6,3475,3553,-78,-2.1953278919
18210,2,2015,,坂井市,90280,91900,-1620,-1.7627856366,209.67,430.6,29454,28744,710,2.4700807125
18210,9,,2000,(旧 361 三国町),21057,22003,-946,-4.2994137163,46.42,453.6,7225,7222,3,0.0415397397
18210,9,,2000,(旧 364 丸岡町),31806,32452,-646,-1.9906323185,107.36,296.3,10301,10173,128,1.2582325764
18210,9,,2000,(旧 365 春江町),24596,24502,94,0.3836421517,24.43,1006.8,8206,7776,430,5.5298353909
18210,9,,2000,(旧 366 坂井町),12821,12943,-122,-0.9425944526,31.70,404.4,3722,3573,149,4.1701651273
18320,c,2015,2000,吉田郡,19883,20647,-764,-3.7002954424,94.43,210.6,7276,7217,59,0.8175142026
18322,3,2015,,永平寺町,19883,20647,-764,-3.7002954424,94.43,210.6,7276,7217,59,0.8175142026
18322,9,,2000,(旧 321 松岡町),11160,11158,2,0.0179243592,18.59,600.3,4583,4380,203,4.6347031963
18322,9,,2000,(旧 322 永平寺町),5720,6188,-468,-7.5630252101,50.40,113.5,1824,1932,-108,-5.5900621118
