"年月日","PCR検査数","抗原検査数","陰性人数","陽性人数","一般相談件数","受診・相談センター相談件数","退院者数","死亡者数","備考"
"2021-12-28","140","105","140","0","15","21","0","0",
"2021-12-29","59","95","59","0","2","27","0","0",
"2021-12-30","30","83","30","0","2","17","0","0",
"2021-12-31","30","58","30","0","1","25","0","0",
"2022-01-01","21","37","21","0","0","9","0","0",
"2022-01-02","33","46","33","0","0","26","0","0",
"2022-01-03","80","50","79","1","0","28","1","0",
"2022-01-04","248","208","248","0","13","32","0","0",
"2022-01-05","238","161","235","3","19","42","0","0",
"2022-01-06","244","113","231","13","24","44","0","0",
"2022-01-07","374","176","360","14","22","35","0","0",
"2022-01-08","182","116","165","17","13","73","0","0",
"2022-01-09","200","40","165","35","16","92","0","0",
"2022-01-10","261","47","243","18","12","74","0","0",
"2022-01-11","502","238","487","15","56","108","0","0",
"2022-01-12","350","190","324","26","54","66","2","0",
"2022-01-13","447","161","423","24","57","83","1","0",
"2022-01-14","534","162","488","46","88","64","3","0",
"2022-01-15","323","86","302","21","21","75","10","0",
"2022-01-16","119","47","98","21","35","62","7","0",
"2022-01-17","565","266","533","32","76","97","19","0",
"2022-01-18","441","183","391","50","40","96","16","0",
"2022-01-19","772","228","694","78","60","113","23","0",
"2022-01-20","813","232","698","115","100","125","22","0",
"2022-01-21","1028","253","909","119","93","212","22","0",
"2022-01-22","905","155","826","79","59","307","32","0",
"2022-01-23","431","62","344","87","42","148","18","0",
"2022-01-24","1206","390","1051","155","123","225","24","0",
"2022-01-25","1353","319","1142","211","121","228","30","0",
"2022-01-26","1050","292","781","269","115","224","43","0",
"2022-01-27","1248","270","1025","223","174","207","32","0",
"2022-01-28","1450","307","1166","284","150","196","33","0",
"2022-01-29","547","177","316","231","69","241","41","0",
"2022-01-30","515","54","402","113","71","223","52","0",
"2022-01-31","1516","364","1277","239","210","272","67","0",
"2022-02-01","928","281","588","340","131","224","163","0",
"2022-02-02","853","339","526","327","139","223","209","0",
"2022-02-03","1226","241","929","297","147","190","101","0",
"2022-02-04","1066","314","719","347","142","218","105","0",
"2022-02-05","672","177","396","276","104","233","82","0",
"2022-02-06","236","74","33","203","45","222","56","0",
"2022-02-07","1156","466","791","365","142","240","394","0",
"2022-02-08","909","390","476","433","160","201","185","0",
"2022-02-09","830","383","386","444","152","211","184","1",
"2022-02-10","1191","427","757","434","117","203","115","1",
"2022-02-11","406","133","115","291","62","242","474","0",
"2022-02-12","604","253","259","345","76","264","80","1",
"2022-02-13","312","85","55","257","56","234","133","1",
"2022-02-14","1346","543","865","481","189","220","66","0",
"2022-02-15","1087","371","530","557","177","188","403","0",
"2022-02-16","988","343","489","499","163","202","135","1",
"2022-02-17","801","291","426","375","125","183","249","0",
"2022-02-18","675","324","195","480","145","196","106","0",
"2022-02-19","592","223","295","297","55","186","568","0",
"2022-02-20","293","47","103","190","59","242","62","1",
"2022-02-21","978","475","418","560","203","187","136","0",
"2022-02-22","675","350","112","563","167","211","380","1",
"2022-02-23","214","99","-17","231","84","198","412","0",
"2022-02-24","785","356","280","505","162","197","692","1",
"2022-02-25","856","349","201","655","169","180","409","1",
"2022-02-26","515","171","146","369","74","234","358","1",
"2022-02-27","287","60","52","235","62","204","84","1",
"2022-02-28","718","364","256","462","159","231","337","1",
"2022-03-01","269","152","-327","596","138","197","376","0",
"2022-03-02","270","153","-204","474","113","189","447","3",
"2022-03-03",,,,,,,"613","0",
